0,cp,section,song,type,song (last.fm),artist (last.fm),listener count (last.fm),play count (last.fm),genre (last.fm)
Aerosmith,"4,5,1",Chorus,I Don't Want To Miss A Thing,3 chord,I Don't Want to Miss a Thing,Aerosmith,878418,5025588,"rock, classic rock, aerosmith, Soundtrack, Love"
Aesop Rock,"1,2,1",Instrumental,Daylight,3 chord,Daylight,Aesop Rock,180771,1241290,"Hip-Hop, underground hip-hop, rap, hip hop, aesop rock"
Afrojack,"1,5,2",Chorus,Ten Feet Tall,3 chord,Ten Feet Tall,Afrojack,99429,474094,"electronic, House, pop, piano, summer"
Afrojack,"4,1,5",Chorus,The Spark,3 chord,The Spark,Afrojack,82600,367143,"electronic, dance, Afrojack, 2013 single, pop"
Afrojack ft Eva Simons,"6,5,1",Instrumental,Take Over Control,3 chord,Take over control,Afrojack feat. Eva Simons,41910,337935,"House, dance, electro house, electronic, party"
Afroman,"1,5,1",Verse,Because I Got High,3 chord,Because I Got High,Afroman,310213,1212627,"rap, Hip-Hop, comedy, because i got high, hip hop"
Agnes,"1,5,6",Chorus,Right Here Right Now,3 chord,Right Here Right Now,Agnes,2266,14717,
Agoaniki-P,"1,4,5",Intro and Verse,Double Lariat - featuring Megurine Luka,3 chord,,,,,
Ahrix,"1,5,4",Chorus,Nova,3 chord,Nova,Ahrix,20971,138351,"lovedbyme, feweurokay, fewtrem1, lovedbyme1"
Ai Ootsuka,"1,5,6",Chorus,Sakuranbo,3 chord,sakuranbo,大塚愛,10178,110810,"j-pop, japanese, JPop, pop, Otsuka Ai"
Aimee Mann,"1,5,6",Verse,Ghost World,3 chord,Ghost World,Aimee Mann,45910,173465,"rock, female vocalists, singer-songwriter, female, alt rock"
Air,"5,2,5",Intro,All I Need,3 chord,All I Need,Air,710334,4469060,"chillout, electronic, ambient, lounge, chill"
Air,"6,5,1",Verse,Venus,3 chord,Venus,Air,357485,1793480,"electronic, chillout, ambient, electronica, french"
Airbag,"6,4,2",Verse,Sounds That I Hear,3 chord,Sounds that I Hear,Airbag,5501,43571,"atmospheric rock, neo progressive, Selection"
Alabama Shakes,"1,6,4",Intro,Gimme All Your Love,3 chord,Gimme All Your Love,Alabama Shakes,121700,664143,"rock, alternative rock, emotional, interessant, alternative"
Alan Howarth-John Carpenter,"6,4,2",Intro,Escape From New York Main Theme,3 chord,,,,,
Alan Parsons Project,"1,6,1",Intro and Verse,Eye In The Sky,3 chord,Eye in the Sky,The Alan Parsons Project,280211,1440375,"80s, Progressive rock, classic rock, rock, pop"
Alan Silvestri,"5,2,5",Outro 2,Back to the Future Theme,3 chord,Back to the Future Theme,Alan Silvestri,3824,13297,"Soundtrack, euphoria, american artist, back to the future, 5 of 10 stars"
Alan Silvestri,"1,6,4",Chorus,Forest Gump Theme,3 chord,,,,,
Alan Silvestri,"4,5,6",Instrumental,The Cosmos Is Yours - Cosmos A SpaceTime Odyssey,3 chord,The Cosmos is Yours - Cosmos A SpaceTime Odyssey,Alan Silvestri,1,2,
Alan Walker,"1,5,6",Chorus,Faded,3 chord,Faded,Alan Walker,283233,2785918,"EDM, electronic, pop, dance, House"
Alanis Morissette,"1,6,4",Chorus,Head Over Feet,3 chord,Head Over Feet,Alanis Morissette,406648,2133354,"rock, female vocalists, 90s, alternative, pop"
Alanis Morissette,"5,1,5",Chorus,Ironic,3 chord,Ironic,Alanis Morissette,702588,3962516,"rock, female vocalists, 90s, alternative, pop"
Alanis Morissette,"1,5,4",Chorus,You Oughta Know,3 chord,You Oughta Know,Alanis Morissette,521194,2841806,"rock, female vocalists, 90s, alternative, alternative rock"
Alesso,"4,5,6",Instrumental,Clash,3 chord,Clash,Alesso,7343,24774,"dubstep, dance, love at first listen, addicting"
Alesso,"6,1,5",Pre-Chorus and Chorus,Cool Feat Roy English,3 chord,Cool feat Roy English,Alesso,15,311,
Alesso,"6,4,1",Chorus,Heroes,3 chord,Heroes,Alesso,10701,67708,"electronic, pop, dance, epic, Confident"
Alesso,"6,4,1",Chorus,If It Wasn't For You,3 chord,If It Wasn't For You,Alesso,22835,101385,"dance, pop, forever, bigroom, bigroom house"
Alesso,"1,4,6",Pre-Chorus and Chorus,Save The World Remix,3 chord,Save The World Remix,Alesso,1,1,
Alesso,"1,5,4",Chorus,Sweet Escape,3 chord,Sweet Escape,Alesso,30415,129686,"trance, pop, dance, dance pop"
Alesso,"6,5,4",Chorus,Under Control,3 chord,Under Control,Alesso,11886,54172,"House, dance, Awesome, best of 2014, bigroom"
Alesso and Dirty South,"6,4,1",Instrumental,City of Dreams,3 chord,City Of Dreams,Dirty South & Alesso,4075,18962,Progressive House
Alesso feat Matthew Koma,"1,5,2",Chorus,Years,3 chord,Years,Alesso feat. Matthew Koma,5338,27641,"party, 2012, 2012 single, featuring, bbc radio1 playlist 2012"
Alestorm,"1,5,6",Chorus,Shipwrecked,3 chord,Shipwrecked,Alestorm,53283,405314,"pirate metal, folk metal, Power metal, metal, rock band"
Alex Clare,"1,2,4",Intro,Too Close,3 chord,Too Close,Alex Clare,476473,3764746,"dubstep, electronic, pop, soul, british"
Alex G,"1,4,5",Chorus,Thorns,3 chord,Thorns,Alex G,10929,51318,fip
Alex Gaudino,"4,6,5",Instrumental,I'm In Love,3 chord,I'm In Love,Alex Gaudino,17461,93091,"dance, House, electronic, club, electropop"
Alex Lloyd,"1,5,6",Chorus,Amazing,3 chord,Amazing,Alex Lloyd,27172,116408,"australian, pop, singer-songwriter, acoustic, amazing"
Alex Mauer,"6,3,6",Intro and Verse,Zenith,3 chord,Zenith,Alex Mauer,909,3456,8-bit
Alex Syntek and Ana Torroja,"4,5,6",Verse,Duele El Amor,3 chord,Duele El Amor,Alex Syntek and Ana Torroja,1,2,
Alexander Rybak,"6,2,3",Intro,Fairytale,3 chord,Fairytale,Alexander Rybak,112006,1180305,"Eurovision, folk, eurovision 2009, pop, norwegian"
Alexandra Stan,"1,5,6",Chorus,Get Back ASAP,3 chord,Get Back ASAP,Alexandra Stan,9578,46533,dance
Alexandra Stan,"6,2,3",Intro,Mr Saxobeat,3 chord,Mr Saxobeat,Alexandra Stan,34664,288647,"pop, dance, sunflower, my dance room, electronic"
Alice Cooper,"1,5,6",Pre-Chorus and Chorus,Poison,3 chord,Poison,Alice Cooper,622940,4199423,"hard rock, rock, classic rock, 80s, metal"
Alice Deejay,"6,5,4",Chorus,Better off Alone,3 chord,Better Off Alone,Alice Deejay,206242,1185253,"dance, trance, techno, electronic, eurodance"
Alice In Chains,"1,5,2",Chorus,Man In The Box,3 chord,Man in the Box,Alice in Chains,599101,3999367,"Grunge, rock, 90s, hard rock, Alice in Chains"
Alice In Chains,"1,5,4",Verse,Nutshell,3 chord,Nutshell,Alice in Chains,414850,3478979,"Grunge, rock, 90s, Alice in Chains, alternative"
Alicia Keys,"1,4,5",Verse,Girl On Fire,3 chord,Girl on Fire,Alicia Keys,264188,1419209,"pop, soul, rnb, female vocalists, 2012"
Alicia Keys,"1,5,6",Intro,No One,3 chord,No One,Alicia Keys,665711,3736991,"soul, rnb, Alicia Keys, female vocalists, pop"
Alison Krauss,"1,5,4",Verse,Down To The River To Pray,3 chord,Down to the River to Pray,Alison Krauss,136452,542900,"bluegrass, country, female vocalists, Soundtrack, spiritual"
Alizee,"6,4,2",Chorus,Moi Lolita,3 chord,Moi... Lolita,Alizée,116500,830415,"french, pop, french pop, female vocalists, lolita"
Alkaline Trio,"1,6,5",Intro,Help Me,3 chord,Help Me,Alkaline Trio,79259,561175,"punk rock, rock, punk, Awesome, alternative"
Alkaline Trio,"1,5,6",Pre-Chorus and Chorus,Radio,3 chord,Radio,Alkaline Trio,142569,960424,"punk, punk rock, rock, alternative, emo"
All American Rejects,"4,6,5",Chorus,Gives You Hell,3 chord,Gives You Hell,The All-American Rejects,671529,4729280,"rock, alternative, pop rock, alternative rock, catchy"
All Levels at Once,"1,5,6",Chorus,Phoenix,3 chord,Phoenix,All Levels at Once,205,1500,electronic
All My Friends ft Tinashe - Chance The Rapper,"1,4,1",Verse,Snakehips,3 chord,,,,,
Allemaal Door Jou,"6,2,5",Verse,Bart Peeters,3 chord,Bart Peeters,Allemaal Door Jou,2,3,
Allen Watts,"4,5,6",Chorus,Gravity,3 chord,Gravity,Allen Watts,919,3701,best of 2015
Alligatoah,"1,5,6",Chorus,Lass Liegen,3 chord,Lass liegen,Alligatoah,10173,81412,"german, Hip-Hop, hip hop, rap, Deutschrap"
Alligatoah,"1,5,6",Pre-Chorus and Chorus,Narben,3 chord,Narben,Alligatoah,23117,196474,"rap, Hip-Hop, hip hop, pop, german"
Alligatoah,"1,5,6",Chorus Lead-Out,Trauerfeier Lied,3 chord,Trauerfeier Lied,Alligatoah,21080,163988,"Hip-Hop, hip hop, rap, german, Deutschrap"
Alligatoah,"1,5,1",Chorus,Wer Weiss,3 chord,Wer weiß,Alligatoah,20014,164799,"Hip-Hop, hip hop, rap, german, Deutschrap"
Alligatoah,"1,2,5",Chorus Lead-Out,Willst Du,3 chord,Willst du,Alligatoah,60879,603094,"german, pop, rap, deutsch, german hiphop"
Allstar Weekend,"1,5,2",Chorus,Hey Princess,3 chord,"Hey, Princess",Allstar Weekend,14515,61123,"pop rock, <3, pop, Paramore, cool"
Aloe Blacc,"6,5,2",Chorus,I Need A Dollar,3 chord,I Need a Dollar,Aloe Blacc,461413,3036831,"soul, Neo-Soul, indie, 2010, best of 2010"
Aloe Blacc,"1,2,1",Chorus,The Man,3 chord,The Man,Aloe Blacc,240750,1333640,"soul, 2014, pop, rnb, The Man"
Alphabeat,"1,5,6",Chorus,Vacation,3 chord,Vacation,Alphabeat,12376,75819,"pop, danish, dance, pop rock, catchy"
Alphaville,"4,1,5",Intro,Big In Japan,3 chord,Big In Japan,Alphaville,329951,1713498,"80s, pop, new wave, synthpop, synth pop"
Alphaville,"1,5,6",Verse,Forever Young,3 chord,Forever Young,Alphaville,534407,2994706,"80s, pop, synthpop, new wave, synth pop"
Alstroemeria Records,"4,5,6",Chorus,Lovelight - Bad Apple,3 chord,,,,,
Alt-J,"6,1,3",Chorus,Breezeblocks,3 chord,Breezeblocks,alt-J,695451,8082631,"indie, alternative, british, 10s, indie rock"
Alt-J,"4,6,5",Verse,Matilda,3 chord,Matilda,alt-J,388783,3542894,"indie, indie rock, alternative, 10s, folk"
Alt-J,"1,6,4",Verse,Something Good,3 chord,Something Good,alt-J,449183,4256716,"indie, indie rock, art rock, life is strange, alternative"
Alter Bridge,"6,5,4",Chorus,Watch Over You,3 chord,Watch Over You,Alter Bridge,169576,1191013,"rock, alternative rock, alternative, rock ballad, hard rock"
AlunaGeorge,"1,2,4",Instrumental,Supernatural,3 chord,Supernatural,AlunaGeorge,80388,336847,"electronic, trip-hop, indie, british, alternative"
AlunaGeorge,"6,4,2",Intro,Your Drums Your Love,3 chord,Your Drums Your Love,AlunaGeorge,2658,12905,"night, quirky"
Alvaro Soler,"1,5,2",Chorus,Sofia,3 chord,Sofia,Alvaro Soler,55580,380182,"spanish, pop, latin, Sommer, spanisch"
Alvvays,"1,5,2",Verse,Archie Marry Me,3 chord,"Archie, Marry Me",Alvvays,174440,1336066,"indie, indie rock, dream pop, boys name, garage"
Aly and AJ,"6,1,4",Verse,Potential Breakup Song,3 chord,Potential Breakup Song,Aly & AJ,199697,1225901,"pop, female vocalists, pop rock, Aly and AJ, guilty pleasure"
Amber,"1,6,1",Verse,Ocean,3 chord,,,,,
America,"1,2,16",Chorus,A Horse With No Name,3 chord,A Horse With No Name,America,521995,2945666,"classic rock, 70s, rock, soft rock, folk"
American Authors,"1,4,1",Chorus,Best Day Of My Life,3 chord,Best Day of My Life,American Authors,398070,2545715,"indie, pop, alternative, happy dance, indie rock"
Amy Diamond,"1,6,5",Chorus,Stay My Baby,3 chord,Stay My Baby,Amy Diamond,3065,19936,"pop, swedish, indie, female vocalists, extra"
Amy Diamond,"1,5,2",Chorus,What's In It For Me,3 chord,What's In It For Me,Amy Diamond,27221,137473,"pop, amy diamond, swedish, happy, disco dancing"
Anamanaguchi,"1,5,6",Verse,Akira,3 chord,Akira,Anamanaguchi,27499,154301,"electronica, chiptune, complextro, 8-bit, synthpop"
Anamanaguchi,"4,5,6",Intro,Rock Club,3 chord,Rock Club,Anamanaguchi,26247,126862,"electronica, chiptune, video game, fun, video game music"
Andain,"5,6,4",Chorus,Beautiful Things,3 chord,Beautiful Things,Andain,35387,244053,"trance, vocal trance, female vocalists, electronica, electronic"
