0,cp,section,song,type,song (last.fm),artist (last.fm),listener count (last.fm),play count (last.fm),genre (last.fm)
No Doubt,"6,2,5",Chorus,Don't Speak,3 chord,Don't Speak,No Doubt,1013522,6035428,"90s, rock, pop, female vocalists, alternative"
No Doubt,"1,4,6",Pre-Chorus,It's My Life,3 chord,It's My Life,No Doubt,374204,1973497,"pop, rock, cover, alternative, No Doubt"
No Doubt,"1,5,6",Intro,Spiderwebs,3 chord,Spiderwebs,No Doubt,395362,1880777,"ska, rock, 90s, pop, alternative"
No Doubt,"1,4,5",Chorus,Underneath It All,3 chord,Underneath It All,No Doubt,290451,1305621,"ska, pop, reggae, alternative, female vocalists"
Noam Kaniel,"1,5,6",Intro,A World Without Danger,3 chord,A World Without Danger,Noam Kaniel,190,1479,
Nobuo Uematsu,"5,2,5",Intro,Aerith's Theme,3 chord,Aerith's Theme,Nobuo Uematsu,81,468,"sad, pretty, instrumental, tear-jerker"
Nobuo Uematsu,"4,5,6",Chorus Lead-Out,Atma Weapon Theme,3 chord,Atma Weapon Theme,植松伸夫,3,26,
Nobuo Uematsu,"4,5,1",Chorus,Bo-Kon-Ho-Ko,3 chord,Bo-Kon-Ho-Ko,植松伸夫,11,69,
Nobuo Uematsu,"4,5,6",Verse,Fighting - Final Fantasy VII,3 chord,,,,,
Nobuo Uematsu,"1,6,4",Instrumental,Final Fantasy - Prelude,3 chord,Final Fantasy - Prelude,植松伸夫,17,52,
Nobuo Uematsu,"6,5,4",Verse,Final Fantasy IV Battle Theme,3 chord,Final Fantasy IV Battle Theme,植松伸夫,7,52,
Nobuo Uematsu,"4,5,6",Verse,Final Fantasy V - Battle,3 chord,Final Fantasy V - Battle,植松伸夫,3,21,
Nobuo Uematsu,"6,2,6",Verse,Final Fantasy VI - Dancing Mad Part 5,3 chord,,,,,
Nobuo Uematsu,"4,5,3",Intro,Final Fantasy VI Boss Battle Theme,3 chord,,,,,
Nobuo Uematsu,"1,6,1",Chorus,Kefka's Theme,3 chord,,,,,
Nobuo Uematsu,"1,2,16",Verse,Locke's Theme,3 chord,Locke's Theme,植松伸夫,1308,4696,"video game music, Soundtrack"
Nobuo Uematsu,"4,5,6",Intro,Neverending Journey,3 chord,Neverending Journey,植松伸夫,1906,15209,"Soundtrack, instrumental, video game music"
Nobuo Uematsu,"1,5,4",Verse,Terra,3 chord,Terra,植松伸夫,18054,136935,"video game music, Soundtrack, instrumental, final fantasy, ffvi"
Nobuo Uematsu,"6,4,5",Intro and Verse,Troian Beauty - FFIV,3 chord,,,,,
Nobuo Uematsu,"4,1,4",Chorus,You're Not Alone,3 chord,YOU'RE NOT ALONE,植松伸夫,5358,40282,"video game music, Game Music, Final Fantasy music"
Noisecontrollers and Adele,"6,4,5",Pre-Chorus,So High To The Rain - Unnamed Mashup,3 chord,,,,,
Noisy Neighbors,"1,5,6",Chorus,Sonic SatAM Theme Song - Fastest Thing Alive,3 chord,,,,,
Noma,"1,5,4",Verse,Brain Power,3 chord,Brain Power,Noma,13173,106587,"electronic, dubstep, meme, Are You Ready, O-oooooooooo AAAAE-A-A-I-A-U- JO-oooooooooooo AAE-O-A-A-U-U-A- E-eee-ee-eee AAAAE-A-E-I-E-A- JO-ooo-oo-oo-oo EEEEO-A-AAA-AAAA"
Nora En Pure,"4,5,6",Instrumental,Sweet Melody,3 chord,Sweet Melody,Nora En Pure,990,3537,
Norah Jones,"1,5,2",Verse,You've Ruined Me,3 chord,You've Ruined Me,Norah Jones,88463,416609,"jazz, female vocalists, chillout, pop, alternative"
Notessimo,"6,4,1",Chorus,Acceleration of the Unhurried,3 chord,,,,,
Nsync,"4,5,4",Pre-Chorus and Chorus,Bye Bye Bye,3 chord,Bye Bye Bye,*NSYNC,423453,1987929,"pop, 90s, boybands, dance, nsync"
Nsync,"4,6,5",Verse,Bye Bye bye,3 chord,Bye Bye Bye,*NSYNC,423453,1987929,"pop, 90s, boybands, dance, nsync"
Nsync,"4,5,3",Chorus,It's Gonna Be Me,3 chord,It's Gonna Be Me,*NSYNC,235498,1203940,"pop, 90s, nsync, dance, boy band"
Nsync,"4,5,6",Verse and Pre-Chorus,It's gonna be me,3 chord,It's Gonna Be Me,*NSYNC,235498,1203940,"pop, 90s, nsync, dance, boy band"
Nsync,"4,5,6",Chorus,Tearin' Up My Heart,3 chord,Tearin' Up My Heart,*NSYNC,123933,634975,"pop, 90s, guilty pleasure, boybands, dance"
Numeriklab,"6,4,5",Intro,NCIS Theme,3 chord,NCIS theme,Numeriklab,2024,19120,"NCIS, instrumental, electronic, electronica, Numeriklab"
O Zone,"1,5,6",Intro,Dragostea Din Tei,3 chord,Dragostea Din Tei,O-Zone,242489,1210185,"dance, pop, eurodance, Romanian, Europop"
O-Town,"1,6,4",Verse,All Or Nothing,3 chord,All or Nothing,O-Town,85688,345703,"pop, boy bands, love songs, Love, Ballad"
OK Go,"4,1,5",Verse,Here It Goes Again,3 chord,Here It Goes Again,OK Go,588008,3314593,"indie, indie rock, rock, alternative, fun"
OK Go,"5,6,1",Chorus,I Won't Let You Down,3 chord,I Won't Let You Down,OK Go,52635,269322,"2014, indie rock, fun, indie, alternative"
OK Go,"4,1,5",Verse,Needing - Getting,3 chord,Needing - Getting,OK Go,39,166,
OMI,"1,5,4",Verse,Cheerleader,3 chord,Cheerleader,Omi,74454,446986,"reggae, saxophone, 2012 single, fallon, jamaican"
OMI,"1,5,6",Pre-Chorus,Hula Hoop,3 chord,HULA HOOP,Omi,97071,446300,"pop, dance, saxophone, deep house, jamaican"
Oasis,"1,5,6",Pre-Chorus and Chorus,Don't Go Away,3 chord,Don't Go Away,Oasis,323684,2111916,"britpop, rock, british, 90s, alternative"
Oasis,"1,5,6",Verse,Don't Look Back In Anger,3 chord,Don't Look Back in Anger,Oasis,1090757,7967361,"britpop, rock, 90s, british, oasis"
Oasis,"1,5,6",Chorus,Don't Look Back in Anger,3 chord,Don't Look Back in Anger,Oasis,1090757,7967361,"britpop, rock, 90s, british, oasis"
Oasis,"4,5,6",Chorus,Live Forever,3 chord,Live Forever,Oasis,696460,4779661,"britpop, rock, 90s, british, oasis"
Oasis,"1,5,2",Chorus,Stop Crying Your Heart Out,3 chord,Stop Crying Your Heart Out,Oasis,579381,4201540,"britpop, rock, british, alternative, indie"
Oasis,"6,2,6",Chorus,The Importance of Being Idle,3 chord,The Importance of Being Idle,Oasis,377504,2130693,"britpop, rock, british, indie, oasis"
Oasis,"4,5,1",Pre-Chorus and Chorus,Wonderwall,3 chord,Wonderwall,Oasis,1895929,15722168,"rock, britpop, 90s, alternative, oasis"
Oasis and Microsoft Songsmith,"1,4,5",Verse,Wonderwall - Songsmith Techno Mix,3 chord,,,,,
Obadiah Parker,"1,4,5",Chorus,Hey Ya,3 chord,Hey Ya,Obadiah Parker,52049,381198,"acoustic, cover, folk, indie, rock"
Oceanlab,"6,5,4",Chorus,Satellite,3 chord,Satellite,Oceanlab,14135,81049,"trance, vocal trance, progressive trance, electronic, vocal"
Octavia,"1,6,3",Chorus,Marcus Werner,3 chord,,,,,
Of Monsters And Men,"1,5,6",Chorus,Little Talks,3 chord,Little Talks,Of Monsters and Men,911279,8901833,"indie, folk, alternative, indie folk, icelandic"
Of Monsters and Men,"1,5,6",Chorus,King and Lionheart,3 chord,King and Lionheart,Of Monsters and Men,442125,3098387,"indie, folk, icelandic, acoustic, rock"
Offenbach,"1,4,1",Verse and Pre-Chorus,Can Can,3 chord,Can Can,Offenbach,1564,6160,
Ogge,"1,5,2",Pre-Chorus,Kuk,3 chord,Kuk,ogge,110,581,
Oh Land,"1,2,4",Chorus,Helicopter,3 chord,Helicopter,Oh Land,51799,255928,"experimental, electronic, pop, scandinavian, lovely"
Oh Land,"1,2,1",Verse,Speak Out Now,3 chord,Speak Out Now,Oh Land,8068,54494,"electronic, pop, female vocalists, catchy, Dreamy"
Oh My Girl,"6,5,4",Chorus,Closer,3 chord,CLOSER,OH MY GIRL,19719,324619,"Kpop, best of 2015, dream pop, k-pop, girl group"
Oh Wonder,"4,6,1",Pre-Chorus,Lose It,3 chord,Lose it,Oh Wonder,102127,557647,"chillout, electronic, british, indie pop, dance-pop"
Okazaki Ritsuko,"1,4,5",Verse,For Fruits Basket,3 chord,For Fruits Basket,岡崎律子,7801,76290,"japanese, anime, j-pop, fruits basket, Soundtrack"
Ola,"1,2,1",Verse,I'm In Love,3 chord,I'm in Love,Ola,23835,142884,"pop, swedish, indie, indie pop, Sweden"
Ola Gjeilo,"4,6,5",Intro,Ubi Caritas,3 chord,Ubi Caritas,Ola Gjeilo,4141,16326,"piano, norwegian, composer, christian, chant"
Old Crow Medicine Show,"1,5,6",Verse,Wagon Wheel,3 chord,Wagon Wheel,Old Crow Medicine Show,234035,1486131,"bluegrass, country, folk, americana, Alt-country"
Old Spice,"1,4,5",Chorus,Dadsong,3 chord,,,,,
Oliver Heldens,"6,5,4",Chorus,Gecko,3 chord,Gecko,Oliver Heldens,7984,34334,
Olivia Newton-John,"1,2,1",Chorus,Twist of Fate,3 chord,Twist Of Fate,Olivia Newton-John,38625,154834,"80s, pop, soft pop, Soundtrack, female vocalist"
Olly Murs,"6,5,2",Intro and Verse,Dear Darlin,3 chord,Dear Darlin',Olly Murs,117167,770891,"pop, british, olly murs, 2013, love at first listen"
Olly Murs,"1,5,2",Chorus,Heart Skips A Beat ft Rizzle Kicks,3 chord,Heart Skips A Beat ft Rizzle Kicks,Olly Murs,144,1587,
Olly Murs ,"1,5,6",Chorus,Dear Darlin,3 chord,,,,,
Olly Murs feat Flo Rida,"1,6,2",Chorus,Troublemaker,3 chord,Troublemaker,Olly Murs,205827,1422999,"pop, british, dance, Favourites, male vocalists"
Omarion ft Chris Brown and Jhene Aiko,"1,4,5",Chorus,Post To Be,3 chord,Post To Be,Omarion Ft Chris Brown and Jhene Aiko,8,163,
Omega,"1,5,2",Intro,Gyongyhaju Lany,3 chord,Gyöngyhajú lány,Omega,31680,246409,"classic rock, Progressive rock, rock, hungarian, Ballad"
One Direction,"1,5,4",Chorus,Best Song Ever,3 chord,Best Song Ever,One Direction,223466,1884716,"pop, one direction, 1d, Awesome, best song ever"
One Direction,"6,4,5",Chorus,Drag Me Down,3 chord,Drag Me Down,One Direction,215569,1811876,"pop, love at first listen, 2015, best of 2015, british"
One Direction,"1,5,6",Pre-Chorus,Heart Attack ,3 chord,,,,,
One Direction,"1,5,6",Pre-Chorus,Live While We're Young,3 chord,Live While We're Young,One Direction,212957,1823933,"pop, one direction, british, male vocalists, 2012"
One Direction,"1,5,6",Verse,Nobody Compares,3 chord,Nobody Compares,One Direction,52415,488020,"pop, male vocalists, overrated, fav, addictive"
One Direction,"1,4,6",Chorus,Perfect,3 chord,perfEct,One Direction,144110,1366552,"perfect, pop, british, love at first listen, taylor swift"
One Direction,"4,1,6",Verse,Rock Me,3 chord,Rock Me,One Direction,97006,1011334,"pop, love at first listen, one direction, talentless, cant sing"
One Direction,"1,4,6",Chorus,Story Of My Life,3 chord,Story of My Life,One Direction,282660,2263334,"pop, story of my life, one direction, love at first listen, british"
One Direction,"1,4,5",Chorus,What Makes You Beautiful,3 chord,What Makes You Beautiful,One Direction,452311,4025531,"pop, one direction, catchy, british, cutieee"
One Direction ,"1,5,6",Chorus,Night Changes ,3 chord,,,,,
One Republic,"4,6,5",Chorus,All The Right Moves,3 chord,All the Right Moves,OneRepublic,512316,4186120,"alternative, pop, rock, great song, alternative rock"
One Republic,"1,5,4",Intro,Counting Stars,3 chord,Counting Stars,OneRepublic,672724,7027948,"pop rock, rock, pop, love at first listen, melancholic"
One Republic,"1,4,6",Chorus Lead-Out,Good Life,3 chord,Good Life,OneRepublic,462861,3235505,"alternative, rock, OneRepublic, pop, happy"
One Republic,"1,5,6",Chorus,I Lived - Arty Remix,3 chord,,,,,
One Republic,"1,2,6",Verse,If I Lose Myself - Alesso Remix,3 chord,If I Lose Myself - Alesso Remix,OneRepublic,6,8,
One Republic,"1,5,6",Chorus,Say,3 chord,Say,OneRepublic,2194,13132,
One Republic,"6,4,1",Chorus,Secrets,3 chord,Secrets,OneRepublic,573309,4477736,"alternative rock, rock, pop, OneRepublic, alternative"
One Republic,"1,5,6",Chorus,Stop And Stare,3 chord,Stop and Stare,OneRepublic,474791,2854411,"rock, alternative rock, pop, alternative, pop rock"
One piece,"1,4,1",Intro,We Are,3 chord,We Are,One Piece,885,6784,
One-T,"5,2,3",Chorus,The Magic Key,3 chord,The Magic Key,One-T,37930,235498,"electronic, dance, Hip-Hop, french, pop"
OneRepublic,"1,5,4",Intro and Verse,Counting Stars,3 chord,Counting Stars,OneRepublic,672724,7027948,"pop rock, rock, pop, love at first listen, melancholic"
Onyanko Club,"1,4,5",Solo 1,Kaiinbango no Uta,3 chord,Kaiinbango no Uta,おニャン子クラブ,9,42,
Orchestral Manoeuvres In The Dark,"1,4,1",Instrumental,Maid Of Orleans,3 chord,Maid of Orleans,Orchestral Manoeuvres in the Dark,105683,359658,"80s, new wave, synthpop, pop, synth pop"
Orchestral Manoeuvres in the Dark,"1,5,6",Intro,Electricity,3 chord,Electricity,Orchestral Manoeuvres in the Dark,148973,636208,"80s, new wave, electronic, synthpop, synth pop"
Orjan Nilsen,"4,6,5",Verse,La Guitarra,3 chord,La Guitarra,Orjan Nilsen,12754,69154,"trance, progressive trance, uplifting trance, electronic, norwegian"
Ost and Meyer and 7 Skies,"5,2,1",Chorus,Dharma,3 chord,,,,,
Otis Redding,"1,5,4",Bridge,Sittin' On The Dock of the Bay,3 chord,Sittin' On The Dock Of The Bay,Otis Redding,34495,148391,"soul, 60s, oldies, motown, rhythm and blues"
Otto Knows,"1,6,1",Chorus,Dying For You,3 chord,Dying For You,Otto Knows,209,2989,
Outkast,"1,4,5",Chorus,Hey Ya,3 chord,Hey Ya!,OutKast,878648,3941834,"Hip-Hop, funk, dance, pop, hip hop"
Outkast,"1,6,5",Verse,Roses,3 chord,Roses,OutKast,476502,2209119,"Hip-Hop, hip hop, rap, funk, outkast"
Owl City,"1,5,1",Chorus,Alligator Sky,3 chord,Alligator Sky,Owl City,57773,429813,"electronic, pop, Awesome, Homeys Slip Cube Shindy, ElectglitchdubhoP"
Owl City,"1,5,4",Chorus,Fireflies,3 chord,Fireflies,Owl City,806091,7475211,"electronic, pop, Owl City, catchy, 00s"
Owl City,"6,5,4",Chorus,Verge,3 chord,Verge,Owl City,43252,188182,"electronic, electropop, pop, dance, amazing"
Owl City,"1,5,6",Pre-Chorus,When Can I See You Again,3 chord,When Can I See You Again?,Owl City,50691,406345,"electronic, Soundtrack, Disney, FUCKING AWESOME, pop"
Owl City featuring Carly Rae Jepsen,"4,1,5",Verse,Good Time,3 chord,Good Time,Owl City & Carly Rae Jepsen,78293,582695,"pop, dance, happy, Owl City, 2012"
Oyuugi Wagamama Dan x PaRADEiS,"1,5,4",Verse,Liverty,3 chord,,,,,
Ozzy Osbourne,"4,1,5",Chorus,Crazy Train,3 chord,Crazy Train,Ozzy Osbourne,704149,3592873,"heavy metal, metal, hard rock, classic rock, rock"
Ozzy Osbourne,"1,2,6",Intro and Verse,Diary of a Madman,3 chord,Diary of a Madman,Ozzy Osbourne,114565,486499,"heavy metal, hard rock, metal, classic rock, rock"
Ozzy Osbourne,"1,5,6",Intro,Mr Crowley,3 chord,Mr. Crowley,Ozzy Osbourne,401785,2233752,"heavy metal, hard rock, metal, rock, Ozzy Osbourne"
PIXL,"1,6,2",Chorus,Sugar Rush,3 chord,Sugar Rush,PIXL,11374,62469,"electro house, complextro"
PPK,"6,3,6",Chorus,Resurrection,3 chord,Resurrection,PPK,23413,102982,"trance, dance, electronic, resurrection, techno"
PRGuitarMan -Yamaha Vocaloid,"1,4,5",Chorus,Nyan Cat - nyanyanya,3 chord,,,,,
Pain,"1,4,6",Intro,Shut Your Mouth,3 chord,Shut Your Mouth,Pain,155955,1365758,"industrial metal, metal, industrial, swedish, pain"
Palm Trees,"1,5,6",Chorus,Casanova,3 chord,,,,,
Panama,"1,5,4",Chorus,Always,3 chord,Always,Panama,115439,530177,"indie, electronic, indie pop, 2014, Soundtrack"
Panda Bear,"1,5,4",Chorus,Bros,3 chord,Bros,Panda Bear,201013,1135445,"experimental, psychedelic, freak folk, indie, folk"
Panic At The Disco,"6,4,1",Chorus,Do You Know What I'm Seeing,3 chord,Do You Know What I'm Seeing,Panic! at the Disco,45105,280703,"rock, alternative, pop rock, my chemical romance, punkemo"
Panic At The Disco,"1,6,4",Chorus,New Perspective,3 chord,New Perspective,Panic! at the Disco,104518,1303942,"rock, indie, alternative, pop punk, alternative rock"
Panic At The Disco,"1,4,1",Intro and Verse,That Green Gentleman,3 chord,That Green Gentleman,Panic! at the Disco,26270,212542,"rock, alternative, alternative rock, Love it, ehhh"
Panic At The Disco,"4,5,6",Pre-Chorus,This Is Gospel,3 chord,This Is Gospel,Panic! at the Disco,190608,1775380,"alternative, rock, PANIC AT THE DISCO, alternative rock, love at first listen"
Panic At The Disco ,"5,6,4",Chorus,I Write Sins Not Tragedies ,3 chord,,,,,
Panjabi MC,"6,5,4",Instrumental,Jogi,3 chord,Jogi,Panjabi MC,47860,234146,"Bhangra, Indian, bollywood, Punjabi, india"
Parade Of Lights,"1,5,4",Intro,Feeling Electric,3 chord,Feeling Electric,Parade of Lights,12719,64202,
Paradise Lost,"5,4,6",Chorus,Mercy,3 chord,Mercy,Paradise Lost,33039,185763,"Gothic Metal, Gothic Rock, doom metal, seen live, Gothic"
ParagonX9,"4,5,6",Instrumental,Chaoz Fantasy,3 chord,Chaoz Fantasy,ParagonX9,2706,25827,"trance, electronic, techno, Drum n Bass, tracks i love"
Paramore,"6,2,4",Verse,Ignorance,3 chord,Ignorance,Paramore,514605,6196381,"alternative rock, rock, pop punk, Paramore, pop rock"
Paramore,"1,6,4",Pre-Chorus and Chorus,Playing God,3 chord,Playing God,Paramore,347848,4020687,"rock, Paramore, pop punk, alternative, female vocalists"
Paramore,"1,4,5",Intro,Pressure,3 chord,Pressure,Paramore,383492,3672492,"rock, Paramore, pop punk, alternative, female vocalists"
Paramore,"1,5,6",Chorus,That's What You Get,3 chord,That's What You Get,Paramore,693310,7030369,"rock, pop punk, Paramore, female vocalists, alternative"
Paris Blohm and Steerner,"4,6,5",Chorus,Fight Forever,3 chord,,,,,
Paris Hilton,"4,5,6",Chorus,My BFF,3 chord,My BFF,Paris Hilton,4588,66106,"pop, dance, female vocalists, Cant believe I listen to this, Soundtrack"
Paris Hilton,"1,5,6",Chorus,Nothing In This World,3 chord,Nothing in This World,Paris Hilton,142704,859526,"pop, dance, Paris Hilton, catchy, electropop"
Parkinson White,"4,1,5",Chorus,Band Of The Hawk,3 chord,,,,,
Parkway Drive,"6,4,2",Intro,Alone,3 chord,Alone,Parkway Drive,71232,691712,"metalcore, hardcore, melodic metalcore, metal, melodic hardcore"
Parkway Drive,"4,5,6",Intro,Horizons,3 chord,Horizons,Parkway Drive,102794,917815,"metalcore, melodic metalcore, hardcore, deathcore, metal"
Parov Stellar,"6,4,2",Solo,Catgroove,3 chord,Catgroove,Parov Stelar,217930,1681225,"electro-swing, electronic, nu-jazz, songs even I dance to, jazz"
Parry Gripp,"1,5,6",Verse,It's Raining Tacos,3 chord,It's Raining Tacos,Parry Gripp,27,85,
Parry Gripp,"1,5,4",Chorus,Nom Nom Nom Nom Nom Nom Nom,3 chord,Nom Nom Nom Nom Nom Nom Nom,Parry Gripp,17342,80855,"rock band, foodcore, funny, short song, YuM"
Parry Gripp,"1,4,1",Chorus,Soccer Ball -In The Face-,3 chord,,,,,
Parry Gripp,"1,5,4",Chorus,Space Unicorn,3 chord,Space Unicorn,Parry Gripp,5896,35611,"rock band, Rock Band Network, happy, cute, Rainbow"
Parry Gripp,"1,6,5",Chorus,The Girl At The Video Game Store,3 chord,The Girl at the Video Game Store,Parry Gripp,2913,20204,"alternative rock, rock band, G4, Attack of the Show, AOTS"
Parry Gripp,"1,5,1",Verse,You're Driving Me Crazy,3 chord,You're Driving Me Crazy,Parry Gripp,156,646,
Particles of Lit,"4,5,6",Chorus,Mockingjay Song,3 chord,,,,,
Passenger,"1,5,6",Chorus,Let Her Go,3 chord,Let Her Go,Passenger,706476,6646097,"folk, acoustic, british, let her go, 2012"
Passion Pit,"1,6,4",Pre-Chorus,Carried Away,3 chord,Carried Away,Passion Pit,287303,1710751,"pop, electronic, synthpop, happy, Songs That Make Me Smile"
Passion Pit,"1,5,6",Chorus,Take A Walk,3 chord,Take a Walk,Passion Pit,553575,3727122,"indie, indie pop, summer, pop, electronic"
Pat Benatar,"1,2,4",Pre-Chorus,Invincible,3 chord,Invincible,Pat Benatar,47838,196391,"80s, rock, female vocalists, Soundtrack, pat benatar"
Pat Benatar,"1,4,1",Intro and Verse,Promises In The Dark,3 chord,Promises In The Dark,Pat Benatar,33314,107841,"80s, rock, classic rock, female vocalists, pat benatar"
Patent Pending,"1,5,6",Chorus,Hey Mario,3 chord,Hey Mario,Patent Pending,6137,51710,"pop punk, video game, fun, game, love at first listen"
Patience and Prudence,"1,4,5",Verse,Tonight You Belong to Me,3 chord,Tonight You Belong to Me,Patience & Prudence,28827,163350,"oldies, slightly creepy, ebay, singing kids, kitsch"
Patrick Hernandez,"1,5,4",Verse,Born To Be Alive,3 chord,Born to Be Alive,Patrick Hernandez,78659,325876,"Disco, 70s, pop, dance, 1979"
Paul Kelly,"1,6,3",Intro and Verse,From Little Things Big Things Grow,3 chord,From Little Things Big Things Grow,Paul Kelly,9511,42681,"rock, Gotta have the banjo, folk, australian, folk-rock"
Paul Kelly,"4,5,1",Verse,How to Make Gravy,3 chord,How to Make Gravy,Paul Kelly,14676,68390,"christmas, rock, folk, pop rock, australian"
Paul Koulak,"1,6,2",Instrumental,Fort Boyard,3 chord,Fort Boyard,Paul Koulak,402,3086,
Paul Mauriat,"1,6,4",Verse,Love is Blue,3 chord,Love Is Blue,Paul Mauriat,62027,238901,"instrumental, easy listening, love is blue, melodic, love songs"
Paul Mauriat,"1,6,2",Verse,Minuetto,3 chord,Minuetto,Paul Mauriat,3849,14684,instrumental
Paul McCartney,"1,5,6",Verse,Meat Free Monday,3 chord,Meat Free Monday,Paul McCartney,262,1540,
Paul McCartney,"1,5,6",Verse,New,3 chord,New,Paul McCartney,54662,265295,"rock, pop, british, singer-songwriter, 10s"
Paul McCartney,"1,4,5",Verse and Pre-Chorus,Queenie Eye,3 chord,Queenie Eye,Paul McCartney,51808,251220,"rock, classic rock, british, pop, perfecto"
Paul McCartney,"1,5,1",Verse,Sing The Changes,3 chord,Sing The Changes,Paul McCartney,8006,42478,"rock band, rock band dlc, rock, Songs Seen Live"
Paul McCartney,"4,5,1",Verse,Teddy Boy,3 chord,Teddy Boy,Paul McCartney,19644,74979,"70s, pop, beautiful, summer, classic rock"
Paul Romero,"1,6,3",Intro,Heroes of Might and Magic 3 Main Theme,3 chord,,,,,
Paul Simon,"1,5,4",Chorus,Cecelia,3 chord,Cecelia,Paul Simon,305,908,"its love, classic rock, rock, 70s, hard rock"
Paul Van Dyk,"6,3,5",Chorus,For An Angel,3 chord,For an Angel,Paul van Dyk,124662,548038,"trance, electronic, dance, paul van dyk, progressive trance"
Paul and Storm,"1,4,1",Verse,Opening Band,3 chord,Opening Band,Paul and Storm,6243,20866,"comedy, funny, acoustic, american, folk"
Pavement,"1,6,5",Chorus,Cut Your Hair,3 chord,Cut Your Hair,Pavement,303116,1746991,"indie, indie rock, 90s, Lo-Fi, alternative"
Pearl Jam,"1,4,1",Verse,Black,3 chord,Black,Pearl Jam,810380,6170867,"Grunge, rock, 90s, alternative rock, pearl jam"
Pearl Jam,"1,5,4",Verse,Elderly Woman Behind the Counter in a Small Town,3 chord,Elderly Woman Behind the Counter in a Small Town,Pearl Jam,260620,1447219,"Grunge, rock, alternative rock, 90s, pearl jam"
Pearl Jam,"1,5,6",Chorus,Indifference,3 chord,Indifference,Pearl Jam,162626,848925,"Grunge, rock, alternative, pearl jam, alternative rock"
Pearl Jam,"4,5,4",Intro,Jeremy,3 chord,Jeremy,Pearl Jam,833240,5221269,"Grunge, rock, 90s, alternative rock, alternative"
Pearl Jam,"1,5,4",Verse,Yellow Ledbetter,3 chord,Yellow Ledbetter,Pearl Jam,404812,2639245,"Grunge, rock, alternative rock, 90s, pearl jam"
Pegboard Nerds,"4,5,6",Instrumental,Disconnected,3 chord,Disconnected,Pegboard Nerds,42018,259314,"electronic, electro house, electronica, female vocalists, electro"
Pegboard Nerds,"1,5,6",Verse,Ner Style,3 chord,,,,,
Pegboard Nerds,"1,5,6",Chorus,Self Destruct,3 chord,Self Destruct,Pegboard Nerds,26296,165999,"dubstep, electronic, electronica, remix, Brostep"
Pegboard Nerds and Tristam,"1,5,6",Verse,Razor Sharp,3 chord,Razor Sharp,Pegboard Nerds and Tristam,24,119,
Pendulum,"1,6,4",Chorus Lead-Out,Encoder,3 chord,Encoder,Pendulum,138991,1159632,"Drum and bass, electronic, Drum n Bass, electronica, epic"
Pendulum,"5,4,5",Chorus,Girl In The Fire,3 chord,Girl in the Fire,Pendulum,198017,1263721,"Drum and bass, Drum n Bass, dnb, electronic, pendulum"
Pendulum,"6,4,1",Pre-Chorus,Propane Nightmares,3 chord,Propane Nightmares,Pendulum,394208,3408644,"Drum and bass, electronic, drum'n'bass, dnb, play it loud"
Pendulum,"1,2,16",Chorus,The Vulture,3 chord,The Vulture,Pendulum,168715,1473590,"Drum and bass, electronic, new rave, Drum n Bass, liquid funk"
Pendulum,"6,5,6",Chorus,Under The Waves,3 chord,Under the Waves,Pendulum,161829,1259547,"Drum and bass, electronic, Drum n Bass, Awesome, rock"
Pendulum,"6,4,5",Instrumental,Witchcraft,3 chord,Witchcraft,Pendulum,324733,3654966,"Drum and bass, electronic, rock, Drum n Bass, Awesome"
Penguin Cafe Orchestra,"6,4,2",Instrumental,Perpetuum Mobile,3 chord,Perpetuum Mobile,Penguin Cafe Orchestra,118052,536706,"instrumental, Classical, ambient, orchestral, minimalism"
Pepper Coyote,"1,5,6",Chorus,No Cock Like Horse Cock,3 chord,No Cock Like Horse Cock,Pepper Coyote,85,821,"whats this, wtf am i listening to"
Perfume,"1,6,4",Chorus,Chocolate Disco,3 chord,Chocolate Disco,Perfume,14881,147967,"japanese, j-pop, cute, female vocalists, chocolate disco"
Perfume,"1,2,3",Chorus,Polyrhythm,3 chord,Polyrhythm,Perfume,21897,206739,"j-pop, electronic, electropop, pop, female vocalists"
Perfume,"1,5,6",Intro,Sweet Donuts,3 chord,Sweet Donuts,Perfume,7393,51617,"JPop, synthpop, electronic, japanese, female vocalists"
Persephone's Bees,"5,2,5",Verse and Pre-Chorus,Nice Day,3 chord,Nice Day,Persephone's Bees,13384,62402,"indie rock, indie, indie pop, female vocalists, upbeat"
Pet Shop Boys,"6,2,5",Verse,It's a Sin,3 chord,It's a Sin,Pet Shop Boys,265684,1553246,"80s, pop, synthpop, new wave, dance"
Pete Rock and CL Smooth,"6,2,1",Instrumental,They Reminisce Over You,3 chord,They Reminisce Over You,Pete Rock & C.L. Smooth,58053,240654,"Hip-Hop, hip hop, 90s, rap, jazz"
Peter Bjorn and John,"1,6,4",Intro,Young Folks,3 chord,Young Folks,Peter Bjorn and John,911944,6809668,"indie, indie pop, swedish, alternative, pop"
Peter Frampton,"4,1,5",Chorus,Baby I Love Your Way,3 chord,Baby I Love Your Way,Peter Frampton,12768,50153,"classic rock, 70s, rock, british, pop rock"
Peter Gabriel,"1,5,6",Chorus,Here Comes The Flood,3 chord,Here Comes the Flood,Peter Gabriel,78994,328645,"Progressive rock, rock, piano, classic rock, singer-songwriter"
Peter Paul and Mary,"1,4,1",Verse,Blowin' In The Wind,3 chord,Blowin' In the Wind,"Peter, Paul & Mary",24689,105045,"folk, 60s, cover, folk rock, Bob Dylan"
