artist,cp,section,song
Whitney Houston,"1,6,4,5,1",Chorus,I Will Always Love You
Alicia Keys,"1,6,4,5,1",Verse,Girl On Fire
They Might Be Giants,"1,6,4,5,1",Verse,Doctor Worm
Britney Spears,"1,6,4,5,1",Chorus,Lucky
Teen Beach Movie,"1,6,4,5,1",Verse,Can't Stop Singing
Britney Spears,"1,6,4,5,1",Intro,Ooh La La
Britney Spears,"1,6,4,5,1",Chorus,Ooh La La
MAGIC,"1,6,4,5,1",Chorus,Rude
Anamanaguchi,"1,6,4,5,1",Pre-Chorus,Akira
Charli XCX,"1,6,4,5,1",Chorus,Boom Clap
Pomplamoose,"1,6,4,5,1",Chorus,Bust Your Knee Caps
Righteous Brothers,"1,6,4,5,1",Verse,Unchained Melody
Jacksfilms,"1,6,4,5,1",Chorus,Give This Song A Title
They Might Be Giants,"1,6,4,5,1",Pre-Chorus,Experimental Film
Game Freak,"1,6,4,5,1",Intro,Aspertia City
Brand New,"1,6,4,5,1",Intro,The Quiet Things That No One Ever Knows
Brand New,"1,6,4,5,1",Chorus,The Quiet Things That No One Ever Knows
Brad Paisley,"1,6,4,5,1",Intro,She's Everything
Charli XCX,"1,6,4,5,1",Verse,Boom Clap
Neutral Milk Hotel,"1,6,4,5,1",Verse,In the Aeroplane Over the Sea
Hoagy Carmichael,"1,6,4,5,1",Verse,Heart And Soul
The Beatles,"1,6,4,5,1",Verse and Pre-Chorus,I Should Have Known Better
Christopher Tin,"1,6,4,5,1",Chorus,Baba Yetu
Barenaked Ladies,"1,6,4,5,1",Chorus,If I Had A Million Dollars
Keith Moon,"1,6,4,5,1",Bridge,Do Me Good
Sean Kingston,"1,6,4,5,1",Chorus,Beautiful Girls
Joe Inoue,"1,6,4,5,1",Chorus,Closer
Truth,"1,6,4,5,1",Intro,Left Swipe Dat
Go West,"1,6,4,5,1",Verse,King Of Wishful Thinking
Bobby Fuller Four,"1,6,4,5,1",Pre-Chorus and Chorus,Love's Made a Fool of You
Antonin Dvorak,"1,6,4,5,1",Bridge,Humoresque Op 101 No 7
Miranda Cosgrove,"1,6,4,5,1",Chorus,Leave It All To Me
Toby Keith,"1,6,4,5,1",Chorus,Courtesy of the Red White and Blue
KEYTALK,"1,6,4,5,1",Chorus,Ouka Ranman
Dom Fera,"1,6,4,5,1",Verse,Deck'd
Steerner ft Corey Saxon,"1,6,4,5,1",Verse,Sparks
Steerner ft Corey Saxon,"1,6,4,5,1",Pre-Chorus,Sparks
Katy Perry,"1,6,4,5,1",Chorus,Lost
Radical Face,"1,6,4,5,1",Chorus,Welcome Home
Scorpions,"1,6,4,5,1",Intro and Verse,Arizona
Weezer,"1,6,4,5,1",Verse,Falling For You
The Beatles,"1,6,4,5,1",Verse,I've Just Seen A Face
Tame Impala,"1,6,4,5,1",Chorus,Let It Happen
Alanis Morissette,"1,6,4,5,1",Chorus,Head Over Feet
Fountains of Wayne,"1,6,4,5,1",Verse,Hey Julie
Van Morrison,"1,6,4,5,1",Verse,Caravan
Bubbles and the Shitrockers,"1,6,4,5,1",Solo,Liquor and Whores
Taylor Swift,"1,6,4,5,1",Verse,The Best Day
The Cranberries,"1,6,4,5,1",Verse,No Need To Argue
Kenshi Yonezu,"1,6,4,5,1",Bridge,Wooden Doll
Adele,"1,6,4,5,1",Bridge,Hello
Neil Sedaka,"1,6,4,5,1",Intro,Calendar Girl
No Doubt,"1,6,4,5,1",Pre-Chorus and Chorus,Spiderwebs
Crowded House,"1,6,4,5,1",Chorus,Don't Dream It's Over
WhiteFlame,"1,6,4,5,1",Chorus,Senbonzakura
Black20 Studios,"1,6,4,5,1",Intro and Verse,I Am A Building
The Beach Boys,"1,6,4,5,1",Verse,Surfer Girl
Planxty,"1,6,4,5,1",Verse,Si Bheag Si Mhor
MooseHeadMoosic,"1,6,4,5,1",Verse,Rainbow Chicken Dance
Kelly Clarkson,"1,6,4,5,1",Pre-Chorus and Chorus,My Life Would Suck Without You
Greek Fire,"1,6,4,5,1",Verse and Pre-Chorus,Top Of The World
Calvin Harris,"1,6,4,5,1",Verse,This Is What You Came For ft Rihanna
Demi Lovato,"1,6,4,5,1",Chorus,Body Say
Blink-182,"1,6,4,5,1",Verse,She's Out Of Her Mind
Matchbox 20,"1,6,4,5,6",Verse,Unwell
The Bangles,"1,6,4,5,6",Verse,Eternal Flame
Crush 40,"1,6,4,5,6",Verse and Pre-Chorus,Escape from the City
Damjan Mravunac,"1,6,4,5,6",Intro,Corridor Of Death
ZUN,"1,6,4,5,6",Chorus,Cemetery of Onbashira - Grave of Being
Jacksfilms,"1,6,4,5,6",Chorus,Give This Song A Title
LilDeuceDeuce,"1,6,4,5,6",Verse and Pre-Chorus,Anderson Cooper's Secret
Toby Keith,"1,6,4,5,6",Chorus,Courtesy of the Red White and Blue
Rhythm Heaven Fever,"1,6,4,5,6",Pre-Chorus and Chorus,Remix 10
Black20 Studios,"1,6,4,5,6",Intro and Verse,I Am A Building
Debbie Gibson,"1,6,4,5,6",Verse and Pre-Chorus,Out Of The Blue
Greek Fire,"1,6,4,5,6",Verse and Pre-Chorus,Top Of The World
Blink-182,"1,6,4,5,6",Verse,She's Out Of Her Mind
Alt-J,"1,6,4,1,6",Verse,Something Good
B o B ft Hayley Williams,"1,6,4,1,6",Chorus,Airplanes
Bruno Mars,"1,6,4,1,6",Chorus,Just The Way You Are
Demi Lovato,"1,6,4,1,6",Intro and Verse,Here We Go Again
Of Monsters And Men,"1,6,4,1,6",Verse,Little Talks
U2,"1,6,4,1,6",Chorus,One
Maroon 5,"1,6,4,1,6",Chorus,Daylight
Fall Out Boy,"1,6,4,1,6",Chorus,I'm Like A Lawyer
Eric Church,"1,6,4,1,6",Verse,Drink In My Hand
Armin van Buuren,"1,6,4,1,6",Verse,This Is What It Feels Like
Macklemore,"1,6,4,1,6",Intro and Verse,Same Love
Birds of Tokyo,"1,6,4,1,6",Chorus,Plans
Katy Perry,"1,6,4,1,6",Chorus,Unconditionally
System F,"1,6,4,1,6",Chorus,Out of the Blue
Enya,"1,6,4,1,6",Verse,Only Time
Iron Maiden,"1,6,4,1,6",Verse and Pre-Chorus,The Wicker Man
Mumford and Sons,"1,6,4,1,6",Chorus,Little Lion Man
Sheppard,"1,6,4,1,6",Chorus,Geronimo
Delta Rae,"1,6,4,1,6",Chorus,If I Loved You
Fall Out Boy,"1,6,4,1,6",Chorus,Young Volcanoes
Florence and the Machine,"1,6,4,1,6",Chorus,Cosmic Love
Florence and the Machine,"1,6,4,1,6",Verse,Cosmic Love
Passion Pit,"1,6,4,1,6",Pre-Chorus,Carried Away
Passion Pit,"1,6,4,1,6",Chorus,Carried Away
The Temper Trap,"1,6,4,1,6",Intro,Sweet Disposition
Dustin Kensrue,"1,6,4,1,6",Chorus,Rejoice
Bob Mould,"1,6,4,1,6",Chorus,Dog on Fire - Daily Show Theme
Ed Sheeran ,"1,6,4,1,6",Chorus,Give Me Love
The Naked and Famous,"1,6,4,1,6",Chorus,Rolling Waves
The Naked and Famous,"1,6,4,1,6",Verse,Rolling Waves
GRL,"1,6,4,1,6",Pre-Chorus,Ugly Heart
United Sonic Alliance,"1,6,4,1,6",Chorus,Secrets From The Night
Villagers,"1,6,4,1,6",Chorus,Nothing Arrived
Becky G,"1,6,4,1,6",Chorus,Can't Stop Dancin'
Dannic and Shermanology,"1,6,4,1,6",Chorus,Wait For You
Martin Garrix,"1,6,4,1,6",Intro,Don't Look Down feat Usher
Shakey Graves,"1,6,4,1,6",Intro,Dearly Departed
A Day To Remember,"1,6,4,1,6",Intro and Verse,Downfall Of Us All
Pink Floyd,"1,6,4,1,6",Verse,Pigs Three Different Ones
Grouplove,"1,6,4,1,6",Chorus,Ways to Go
AM Taxi,"1,6,4,1,6",Intro,Charissa
AM Taxi,"1,6,4,1,6",Verse,Charissa
Wavves,"1,6,4,1,6",Verse,Pony
Avicii,"1,6,4,1,6",Intro and Verse,Broken Arrows
Pendulum,"1,6,4,1,6",Chorus Lead-Out,Encoder
marny kennedy,"1,6,4,1,6",Chorus,It's My Life
Thomas Rhett,"1,6,4,1,6",Chorus,Die A Happy Man
Thomas Rhett,"1,6,4,1,6",Verse and Pre-Chorus,Die A Happy Man
Foo Fighters,"1,6,4,1,6",Pre-Chorus and Chorus,Everlong
Daya,"1,6,4,1,6",Verse,Sit Still Look Pretty
Daya,"1,6,4,1,6",Chorus,Hide Away
Gwen Stefani,"1,6,4,1,6",Chorus,Baby Don't Lie
Muse,"1,6,4,1,6",Verse,Revolt
Beach House,"1,6,4,1,6",Verse,Wishes
Maroon 5,"1,6,4,1,5",Chorus,Never gonna leave this bed
Creedence Clearwater Revival,"1,6,4,1,5",Verse,Lookin' Out My Back Door
Red Hot Chili Peppers,"1,6,4,1,5",Bridge,Otherside
Phillip Phillips,"1,6,4,1,5",Chorus,Home
Armin van Buuren,"1,6,4,1,5",Verse,This Is What It Feels Like
John Mayer,"1,6,4,1,5",Chorus,Waiting on the World to Change
Patent Pending,"1,6,4,1,5",Verse,Hey Mario
Del Amitri,"1,6,4,1,5",Verse,Nothing Ever Happens
Iron Maiden,"1,6,4,1,5",Verse and Pre-Chorus,The Wicker Man
Mumford and Sons,"1,6,4,1,5",Chorus,Little Lion Man
Grateful Dead,"1,6,4,1,5",Chorus,Sugaree
Parry Gripp,"1,6,4,1,5",Chorus,Space Unicorn
Reel Big Fish,"1,6,4,1,5",Intro,Everyone Else is an Asshole
Martin Garrix,"1,6,4,1,5",Intro,Don't Look Down feat Usher
Journey,"1,6,4,1,5",Bridge,Lights
Rob Abernethy,"1,6,4,1,5",Verse,A Walk In The Shire
Avicii,"1,6,4,1,5",Intro and Verse,Broken Arrows
Florence and the Machine,"1,6,4,1,5",Intro and Verse,Shake It Out
marny kennedy,"1,6,4,1,5",Chorus,It's My Life
Foo Fighters,"1,6,4,1,5",Pre-Chorus and Chorus,Everlong
Beck,"1,6,4,1,5",Verse and Pre-Chorus,Blue Moon
Pepper Coyote,"1,6,4,1,5",Verse,No Cock Like Horse Cock
Chris Tomlin,"1,6,4,1,2",Verse,Our God
Kelly Clarkson,"1,6,4,1,2",Chorus,Since U Been Gone
Bodyjar,"1,6,4,1,2",Chorus,Not the Same
Lady Gaga,"1,6,4,1,2",Chorus,LoveGame
A Day To Remember,"1,6,4,1,2",Pre-Chorus and Chorus,Downfall Of Us All
Grouplove,"1,6,4,1,2",Chorus,Ways to Go
Thomas Rhett,"1,6,4,1,2",Verse and Pre-Chorus,Die A Happy Man
Blink-182,"1,6,4,1,2",Intro and Verse,Here's Your Letter
Instrumental Core,"1,6,4,1,2",Intro,HONOR OF LIFE
Demi Lovato,"1,6,5,4,1",Chorus,Give Your Heart A Break
Demi Lovato,"1,6,5,4,1",Pre-Chorus,Give Your Heart A Break
Demi Lovato,"1,6,5,4,1",Verse,Give Your Heart A Break
Maroon 5,"1,6,5,4,1",Chorus,Payphone
Maroon 5,"1,6,5,4,1",Verse and Pre-Chorus,Payphone
Matt Nathanson,"1,6,5,4,1",Chorus,Come On Get Higher
The Wanted,"1,6,5,4,1",Intro,Glad You Came
Nero,"1,6,5,4,1",Chorus,Promises - Skrillex-Nero Remix
Phillip Phillips,"1,6,5,4,1",Bridge,Home
Amy Diamond,"1,6,5,4,1",Chorus,Stay My Baby
Imogen Heap,"1,6,5,4,1",Bridge,Hide And Seek
Backstreet Boys,"1,6,5,4,1",Chorus,As Long As You Love Me
Eli Young Band,"1,6,5,4,1",Chorus,Even If It Breaks Your Heart
Tyler Shaw,"1,6,5,4,1",Chorus,Kiss Goodnight
AKB48,"1,6,5,4,1",Verse,Sugar Rush
JJAMZ,"1,6,5,4,1",Chorus,Heartbeat
Green Day,"1,6,5,4,1",Verse,Good Riddance - Time of Your Life
Green Day,"1,6,5,4,1",Solo,Good Riddance - Time of Your Life
Luke Bryan,"1,6,5,4,1",Chorus,Crash My Party
Capital Cities,"1,6,5,4,1",Chorus,Safe and Sound
AKB48,"1,6,5,4,1",Pre-Chorus,Sugar Rush
Calvin Harris,"1,6,5,4,1",Verse,Sweet Nothing
Calvin Harris,"1,6,5,4,1",Pre-Chorus,Sweet Nothing
Calvin Harris,"1,6,5,4,1",Chorus,Sweet Nothing
Katy Perry,"1,6,5,4,1",Intro,Dark Horse
Katy Perry,"1,6,5,4,1",Pre-Chorus and Chorus,Dark Horse
Katy Perry,"1,6,5,4,1",Verse,Legendary Lovers
Katy Perry,"1,6,5,4,1",Pre-Chorus,Legendary Lovers
Katy Perry,"1,6,5,4,1",Chorus,Legendary Lovers
Chalk Zone,"1,6,5,4,1",Intro and Verse,The Amazin' River
Marcus Werner,"1,6,5,4,1",Bridge,Octavia
Nicky Tuckova,"1,6,5,4,1",Verse,Rich Boy
Nicky Tuckova,"1,6,5,4,1",Chorus,Rich Boy
Billy Currington,"1,6,5,4,1",Chorus,We Are Tonight
Lorde,"1,6,5,4,1",Chorus,Tennis Court
My Little Pony,"1,6,5,4,1",Chorus,Giggle at the Ghosty
U2,"1,6,5,4,1",Chorus,The Miracle of Joey Ramone
David Lee Murphy,"1,6,5,4,1",Chorus,Dust On The Bottle
Regina Spektor,"1,6,5,4,1",Bridge,Human of the Year
3OH3,"1,6,5,4,1",Chorus,Double Vision
Justice Crew,"1,6,5,4,1",Chorus,Best Night
Justice Crew,"1,6,5,4,1",Instrumental,Best Night
Flo Rida,"1,6,5,4,1",Bridge,Club Can't Handle Me
Wyclef Jean,"1,6,5,4,1",Chorus,Divine Sorrow
The Lumineers,"1,6,5,4,1",Verse and Pre-Chorus,Stubborn Love
Becky G,"1,6,5,4,1",Chorus,Shower
Francesca Battistelli,"1,6,5,4,1",Chorus,This Is The Stuff
Transatlantic,"1,6,5,4,1",Chorus,We All Need Some Light
The Fray,"1,6,5,4,1",Chorus,Over My Head - Cable Car
Ella Henderson,"1,6,5,4,1",Chorus,Ghost
The Script,"1,6,5,4,1",Instrumental,Superheroes
Dustin Kensrue,"1,6,5,4,1",Chorus,It Is Finished
Capital Cities,"1,6,5,4,1",Chorus,Safe And Sound - Dzeko and Torres Remix
Jason Derulo,"1,6,5,4,1",Bridge,Whatcha Say
Jason Derulo,"1,6,5,4,1",Verse,Whatcha Say
Jason Derulo,"1,6,5,4,1",Chorus,Whatcha Say
Parry Gripp,"1,6,5,4,1",Chorus,The Girl At The Video Game Store
Dannic and Shermanology,"1,6,5,4,1",Chorus,Wait For You
Reel Big Fish,"1,6,5,4,1",Chorus,Everyone Else is an Asshole
Canaan Smith,"1,6,5,4,1",Chorus,Love You Like That
Paramore,"1,6,5,4,1",Chorus,That's What You Get
Nine Inch Nails,"1,6,5,4,1",Intro and Verse,A Warm Place
The Dumplings,"1,6,5,4,1",Intro and Verse,Man Pregnant
Christopher Max,"1,6,5,4,1",Chorus,Soul Glo
Chelsea Ward,"1,6,5,4,1",Chorus,That's Falling in Love
Justin Bieber,"1,6,5,4,1",Intro,What Do You Mean
Pavement,"1,6,5,4,1",Chorus,Cut Your Hair
Muse,"1,6,5,4,1",Pre-Chorus and Chorus,Mercy
Muse,"1,6,5,4,1",Verse,Mercy
John Grant,"1,6,5,4,1",Verse,Outer Space
Maroon 5,"1,6,5,4,1",Verse and Pre-Chorus,Pre Payphone
Cartoons,"1,6,5,4,1",Chorus,Ekkosangen
Kate Bush,"1,6,5,4,1",Chorus,Suspended In Gaffa
Jonas Blue,"1,6,5,4,1",Chorus,Fast Car
Kenshi Yonezu,"1,6,5,4,1",Intro,Vivi
Death Cab For Cutie,"1,6,5,4,1",Verse,The Ice Is Getting Thinner
ArmanArX,"1,6,5,4,1",Chorus,Syahrini STICKER vs ArmanArX STICKER
James Taylor,"1,6,5,4,1",Chorus,Mexico
Timeflies,"1,6,5,4,1",Chorus,All the Way
Timeflies,"1,6,5,4,1",Instrumental,All the Way
Braid Soundtrack,"1,6,5,4,5",Chorus,Downstream
Green Day,"1,6,5,4,5",Verse,2000 Light Years Away
Myla Smith,"1,6,5,4,5",Verse and Pre-Chorus,Slow Down
Myla Smith,"1,6,5,4,5",Chorus,Slow Down
Dixie Chicks,"1,6,5,4,5",Pre-Chorus,Goodbye Earl
JJAMZ,"1,6,5,4,5",Verse,Heartbeat
Les Friction,"1,6,5,4,5",Chorus,Come Back to Me
Veronica Maggio,"1,6,5,4,5",Chorus,Jag kommer
Alkaline Trio,"1,6,5,4,5",Intro,Help Me
Lady Gaga,"1,6,5,4,5",Chorus,Marry the Night
Parry Gripp,"1,6,5,4,5",Chorus,It's Raining Tacos
Hot Leg,"1,6,5,4,5",Verse,Cocktails
Rachel Platten,"1,6,5,4,5",Chorus,Stand By You
Pokemon Blue and Red,"1,6,5,4,5",Chorus,Pallet Town
Eluveitie,"1,6,5,4,5",Intro,Inis Mona
The Lumineers ,"1,6,5,1,6",Chorus,Ho Hey
Myla Smith,"1,6,5,1,6",Verse and Pre-Chorus,Slow Down
Vance Joy,"1,6,5,1,6",Verse,Riptide
Tom Petty And the Heartbreakers,"1,6,5,1,6",Verse, I Won't Back Down
Ella Fitzgerald,"1,6,5,1,6",Verse,Ev'ry Time You Say Goodbye
Jimmy Barnes,"1,6,5,1,6",Bridge,Working Class Man
Lorde,"1,6,5,1,6",Verse and Pre-Chorus,Team
Vance Joy,"1,6,5,1,6",Chorus,Riptide
Tom Petty And The Heartbreakers,"1,6,5,1,6",Verse,I Won't Back Down
Alkaline Trio,"1,6,5,1,6",Intro,Help Me
Sam Smith,"1,6,5,1,6",Verse,Like I Can 
Dustin Kensrue,"1,6,5,1,6",Verse,It Is Finished
BOY,"1,6,5,1,6",Chorus,Little Numbers
Robin Schulz,"1,6,5,1,6",Verse,Headlights
Motion City Soundtrack,"1,6,5,1,6",Verse,The Future Freaks Me Out
Motion City Soundtrack,"1,6,5,1,6",Instrumental,The Future Freaks Me Out
Treble Charger,"1,6,5,1,6",Intro and Verse,Ever She Flows
Tame Impala,"1,6,5,1,6",Pre-Chorus and Chorus,Eventually
Brad Paisley,"1,6,5,1,6",Verse,Two Feet of Topsoil
Green Day,"1,6,5,1,6",Chorus,The Death of St Jimmy
Adele,"1,6,5,1,6",Chorus,Send My Love
Camille Saint-Saens,"1,6,5,1,4",Chorus,Organ Symphony No 3 Op 78 - If I Had Words
Green Day,"1,6,5,1,4",Chorus,Good Riddance - Time of Your Life
My Little Pony,"1,6,5,1,4",Chorus,Giggle at the Ghosty
Brooke Fraser,"1,6,5,1,4",Verse,Something In The Water
Brooke Fraser,"1,6,5,1,4",Verse and Pre-Chorus,Something In The Water
Imagine Dragons,"1,6,5,1,4",Verse,I Bet My Life
The Shins,"1,6,5,1,4",Chorus,Simple Song
Tame Impala,"1,6,5,1,4",Pre-Chorus and Chorus,Eventually
Weird Al Yankovic,"1,6,5,1,4",Chorus,The Night Santa Went Crazy
Brad Paisley,"1,6,5,1,4",Verse,Two Feet of Topsoil
Green Day,"1,6,5,1,4",Chorus,The Death of St Jimmy
Greek Fire,"1,6,5,1,4",Verse and Pre-Chorus,Top Of The World
Oasis,"1,6,5,1,5",Chorus,Don't Look Back in Anger
John Williams,"1,6,5,1,5",Chorus,Olympic Fanfare and Theme
LilDeuceDeuce,"1,6,5,1,5",Verse and Pre-Chorus,Anderson Cooper's Secret
Francesca Battistelli,"1,6,5,1,5",Verse,This Is The Stuff
Brand New,"1,6,5,1,5",Pre-Chorus and Chorus,Last Chance To Lose Your Keys
Brad Paisley,"1,6,5,1,5",Chorus,Two Feet of Topsoil
The Lumineers ,"1,6,5,1,464",Chorus,Ho Hey
Ylvis,"1,6,5,1,464",Verse,Massachusetts
Steely Dan,"1,6,5,1,464",Verse,Gaucho
BOY,"1,6,5,1,2",Chorus,Little Numbers
Treble Charger,"1,6,5,1,2",Intro and Verse,Ever She Flows
Toby Fox,"1,6,5,1,2",Bridge,Your Best Nightmare
Tom Petty,"1,6,5,2,1",Verse,Into The Great Wide Open
Selena,"1,6,5,2,1",Verse and Pre-Chorus,I Could Fall In Love
Caspar Babypants,"1,6,5,2,1",Chorus,Googly Eyes
The Strokes,"1,6,5,2,1",Verse and Pre-Chorus,What Ever Happened
Felix Cartal feat Ofelia,"1,6,5,2,1",Chorus,New Scene - Lucky Date Remix
Felix Cartal feat Ofelia,"1,6,5,2,1",Instrumental,New Scene - Lucky Date Remix
Emancipator,"1,6,5,2,1",Chorus,Anthem
Jordin Sparks,"1,6,5,2,1",Intro,One Step at a Time
Years and Years,"1,6,5,2,1",Chorus,King
Jojo,"1,6,5,2,1",Pre-Chorus and Chorus,Too Little Too Late
FamicomForever,"1,6,5,2,1",Verse,Tame Trip
Selena,"1,6,5,2,4",Verse and Pre-Chorus,I Could Fall In Love
City 17,"1,6,5,2,4",Chorus,Toxin
Arctic Monkeys,"1,6,5,2,5",Intro,Fluorescent Adolescent
Sharon Needles,"1,6,5,6,5",Verse,Why Do You Think You Are Nuts
Lorde,"1,6,5,6,5",Chorus,Buzzcut Season
Snarky Puppy,"1,6,5,6,5",Intro,Thing of Gold
Florence and The Machine,"1,6,5,6,5",Chorus,Ship To Wreck
The Connells,"1,6,5,6,5",Verse,'74-'75
The Salads,"1,6,5,6,3",Intro,Seasons
ZUN,"1,6,5,6,3",Verse and Pre-Chorus,Primordial Beat - Pristine Beat
The Rasmus,"1,6,5,6,1",Intro and Verse,In the Shadows
FamicomForever,"1,6,5,6,1",Verse,Tame Trip
Alestorm,"1,6,5,6,5/5",Chorus,Shipwrecked
Iron Maiden,"1,6,5,6,4",Intro,Fear of the Dark
Robyn,"1,6,5,6,4",Chorus,Call Your Girlfriend
Depeche Mode,"1,6,1,6,1",Intro,Enjoy the Silence
George Harrison,"1,6,1,6,1",Verse,My Sweet Lord
Mumford and Sons,"1,6,1,6,1",Verse,The Cave
Nirvana,"1,6,1,6,1",Chorus,In Bloom
Buddy Holly,"1,6,1,6,1",Verse,Maybe Baby
Mumford and Sons,"1,6,1,6,1",Verse,Sigh No More
Suzanne Vega,"1,6,1,6,1",Intro,Tom's Diner
Foo Fighters,"1,6,1,6,1",Verse,My Hero
Foo Fighters,"1,6,1,6,1",Intro,My Hero
Kyu Sakamoto,"1,6,1,6,1",Verse,Sukiyaki
The Beatles,"1,6,1,6,1",Intro and Verse,From Me To You
Matt Lange Vs Gareth Emery,"1,6,1,6,1",Intro and Verse,Another You Another Me
Chairlift,"1,6,1,6,1",Verse,Evident Utensil
Arty,"1,6,1,6,1",Chorus,Ferry Corsten - Punk
Eisley,"1,6,1,6,1",Verse,Drink The Water
Neil Sedaka,"1,6,1,6,1",Intro,Calendar Girl
Rilo Kiley,"1,6,1,6,1",Verse,Silver Lining
DNCE,"1,6,1,6,1",Intro,CAKE BY THE OCEAN
Mariah Carey,"1,6,1,6,1",Chorus,Heartbreaker
Mariah Carey,"1,6,1,6,1",Intro,Heartbreaker
Mariah Carey,"1,6,1,6,1",Verse,Heartbreaker
Mariah Carey,"1,6,1,6,1",Pre-Chorus,Heartbreaker
Electric Light Orchestra,"1,6,1,6,4",Verse,Can't Get It Out Of My Head
Leonard Cohen,"1,6,1,6,4",Verse,Hallelujah
Jeff Buckley,"1,6,1,6,4",Verse,Hallelujah
Hoobastank,"1,6,1,6,4",Verse,The Reason
Dusty Springfield,"1,6,1,6,4",Verse,I Only Want To Be With You
Roy Orbison,"1,6,1,6,4",Chorus,Oh Pretty Woman
Del Amitri,"1,6,1,6,4",Verse,Nothing Ever Happens
Nobuo Uematsu,"1,6,1,6,4",Instrumental,Final Fantasy - Prelude
Neil Sedaka,"1,6,1,6,4",Intro,Calendar Girl
Rilo Kiley,"1,6,1,6,4",Verse,Silver Lining
Stephen Sondheim,"1,6,1,6,4",Verse,The Ballad of Sweeney Todd
Daya,"1,6,1,6,4",Chorus,Hide Away
Pepper Coyote,"1,6,1,6,4",Verse,No Cock Like Horse Cock
JJAMZ,"1,6,1,6,5",Verse,Heartbeat
Green Day,"1,6,1,6,5",Chorus,Good Riddance - Time of Your Life
Bruce Springsteen,"1,6,1,6,5",Verse,Dancing in the Dark
The Horrible Crowes,"1,6,1,6,5",Chorus,Cherry Blossoms
Robin Schulz,"1,6,1,6,5",Verse,Headlights
Pavement,"1,6,1,6,5",Chorus,Cut Your Hair
DATA,"1,6,1,6,5",Verse,Don't Sing
Nirvana,"1,6,1,6,2",Chorus,In Bloom
Foo Fighters,"1,6,1,6,2",Intro,My Hero
Garbage,"1,6,1,6,2",Verse and Pre-Chorus,Special
Borknagar,"1,6,1,6,2",Chorus,Colossus
The Shins,"1,6,1,4,1",Verse,New Slang
Asher Roth,"1,6,1,4,1",Chorus,I Love College
Viper,"1,6,1,4,1",Intro,You'll Cowards Dont Even Smoke Crack
Viper,"1,6,1,4,1",Chorus,You'll Cowards Don't Even Smoke Crack
Jimi Hendrix,"1,6,1,4,1",Chorus,One Rainy Wish
Grace Potter,"1,6,1,4,1",Chorus,Something that I Want
David Guetta ft Akon,"1,6,1,4,1",Pre-Chorus,Sexy Bitch
Mr Big,"1,6,1,4,1",Verse and Pre-Chorus,To Be With You
Wiz Khalifa ft Charlie Puth,"1,6,1,4,1",Pre-Chorus and Chorus,See You Again
Kygo ft Maty Noyes,"1,6,1,4,1",Instrumental,Stay
Lady Gaga,"1,6,1,4,1",Intro,Til It Happens To You
Glaze,"1,6,1,4,1",Verse,Tough Luck
Nero,"1,6,1,4,1",Intro,The Thrill
Peter Paul and Mary,"1,6,1,4,5",Verse,Blowin' In The Wind
Buddy Holly,"1,6,1,4,5",Verse,Maybe Baby
Jimmy Barnes,"1,6,1,4,5",Bridge,Working Class Man
The Blue Hearts,"1,6,1,4,5",Verse,Linda Linda
Zebrahead,"1,6,1,4,5",Chorus,Someday
Associates,"1,6,1,4,5",Verse,Party Fears Two
The Pogues and Kirsty MacColl,"1,6,1,4,5",Chorus,Fairytale of New York
Eisley,"1,6,1,4,5",Verse,Drink The Water
Ryn Weaver,"1,6,1,4,5",Verse and Pre-Chorus,The Fool
Grouplove,"1,6,1,4,16",Intro and Verse,Ways to Go
AM Taxi,"1,6,1,4,16",Intro,Charissa
Lord Huron,"1,6,1,4,6",Verse,Love Like Ghosts
Lord Huron,"1,6,1,4,6",Verse,Meet Me In The Woods
Mumford and Sons,"1,6,1,5,1",Verse,The Cave
Usher,"1,6,1,5,1",Verse,DJ's Got Us Falling In Love Again
Koji Kondo,"1,6,1,5,1",Verse,Super Mario Bros 3 - Overworld
Lady Gaga,"1,6,1,5,2",Intro,Just Dance
Lady Gaga,"1,6,1,5,2",Chorus,Just Dance
Pink Floyd,"1,6,1,5,4",Intro and Verse,The Thin Ice
Mumford and Sons,"1,6,1,5,4",Verse,Little Lion Man
Steve Winwood,"1,6,1,5,4",Chorus,Valerie
Knife Party,"1,6,1,5,6",Solo,Fire Hive
Lana Del Rey,"1,6,1,3,4",Verse,Video Games
Jess Glynne,"1,6,1,3,4",Chorus,Right Here
Otto Knows,"1,6,1,3,4",Chorus,Dying For You
Jordin Sparks - Chris Brown,"1,6,1,3,5",Chorus,No Air
Kyu Sakamoto,"1,6,1,3,67",Verse,Sukiyaki
Feng huang chuan qi,"1,6,1,3,6",Verse,Zui xuan min zu feng
Justin Bieber,"1,6,2,5,1",Chorus,Boyfriend
The Four Seasons,"1,6,2,5,1",Verse,Sherry
The Legend of Zelda,"1,6,2,5,1",Instrumental,Lost Woods
Tom Hanks,"1,6,2,5,1",Verse,Big soundtrack
Marina and the Diamonds,"1,6,2,5,1",Verse,Primadonna
Wham,"1,6,2,5,1",Verse,Last Christmas
Queen,"1,6,2,5,1",Chorus,Play The Game
Amy Diamond,"1,6,2,5,1",Intro,Stay My Baby
Amy Diamond,"1,6,2,5,1",Verse,Stay My Baby
Weezer,"1,6,2,5,1",Intro,Island in the Sun
Dusty Springfield,"1,6,2,5,1",Chorus,You Don't Have to Say You Love Me
