,artist,cp,section,song,type,listener count (last.fm),play count (last.fm),genre (last.fm),popularity (Spotify),release date (Spotify)
11053,Elliott Smith,"1,6,4",Chorus,Miss Misery,3 chord,145014,957516,singer-songwriter,39,1997
11076,Mumford and Sons,"1,6,4",Bridge,Sigh No More,3 chord,553739,4266951,folk,53,2009
11112,The Bangles,"1,6,4",Verse,Eternal Flame,3 chord,352438,1592781,80s,72,2004
11128,Bad Religion,"1,6,4",Verse,Supersonic,3 chord,87115,477251,punk rock,46,2002
11137,Ben E King,"1,6,4",Verse,Stand By Me,3 chord,617063,3232093,soul,50,2016
11147,Mariah Carey,"1,6,4",Pre-Chorus and Chorus,All I Want For Christmas Is You,3 chord,732836,4375876,christmas,77,1994
11170,Mark Isham,"1,6,4",Intro,Sense of Touch,3 chord,9207,54316,Soundtrack,26,2005
11191,Marc Cohn,"1,6,4",Verse,Walking in Memphis,3 chord,203346,1057229,rock,26,2019
11201,Virtual Riot,"1,6,4",Chorus,Energy Drink,3 chord,9047,70412,electro,54,2017
11232,Sheppard,"1,6,4",Chorus,Geronimo,3 chord,250770,1592673,indie,64,2015
11237,Peter Bjorn and John,"1,6,4",Intro,Young Folks,3 chord,911944,6809668,indie,65,2007
11246,Delta Rae,"1,6,4",Chorus,If I Loved You,3 chord,11341,49266,2010s,36,2012
11286,Charli XCX,"1,6,4",Chorus,Boom Clap,3 chord,346752,2848197,pop,60,2014
11291,Pomplamoose,"1,6,4",Verse,Bust Your Knee Caps,3 chord,15189,76000,indie,62,2012
11296,Righteous Brothers,"1,6,4",Verse,Unchained Melody,3 chord,394252,1878384,oldies,67,1990
11301,Billy Joel,"1,6,4",Pre-Chorus and Chorus,Uptown Girl,3 chord,517761,2247991,80s,80,1983
11307,They Might Be Giants,"1,6,4",Pre-Chorus,Experimental Film,3 chord,33233,191630,rock,26,2004
11312,Bodyjar,"1,6,4",Chorus,Not the Same,3 chord,66317,393807,punk,53,2000
11319,Passion Pit,"1,6,4",Pre-Chorus,Carried Away,3 chord,287303,1710751,pop,61,2012
11333,Brad Paisley,"1,6,4",Intro,She's Everything,3 chord,152304,548572,country,67,2005
11338,Brad Paisley,"1,6,4",Intro,Time Well Wasted,3 chord,19526,58412,country,33,2005
11348,Fall Out Boy,"1,6,4",Chorus,America's Suitehearts,3 chord,227352,1675974,rock,53,2008
11352,The Temper Trap,"1,6,4",Intro,Sweet Disposition,3 chord,910089,8609283,indie,66,2009
11364,Neutral Milk Hotel,"1,6,4",Verse,In the Aeroplane Over the Sea,3 chord,615162,6270621,indie,66,1998
11382,Mayday Parade,"1,6,4",Verse and Pre-Chorus,Terrible Things,3 chord,46129,397329,sad,22,2019
11392,Hoagy Carmichael,"1,6,4",Verse,Heart And Soul,3 chord,3994,12843,piano,40,2017
11402,Johann Sebastian Bach,"1,6,4",Intro,Jesus bleibet meine Freude,3 chord,3948,18962,Classical,6,1988
11407,The Muppets,"1,6,4",Verse,Rainbow Connection,3 chord,27235,119339,Soundtrack,51,2011
11416,Geographer,"1,6,4",Bridge,Kites,3 chord,121631,631993,electronic,43,2010
11421,Christopher Tin,"1,6,4",Chorus,Baba Yetu,3 chord,17125,193028,Soundtrack,54,2009
11426,The Who,"1,6,4",Pre-Chorus and Chorus,I Can't Explain,3 chord,280893,1268023,classic rock,35,1971
11431,Barenaked Ladies,"1,6,4",Chorus,If I Had A Million Dollars,3 chord,148757,754361,Canadian,59,1992
11446,The Reasoning,"1,6,4",Chorus,A Musing Dream,3 chord,2107,7767,Progressive rock,1,2008
11451,Sean Kingston,"1,6,4",Chorus,Beautiful Girls,3 chord,584603,2058488,rnb,79,2007
11456,Lady Gaga,"1,6,4",Chorus,LoveGame,3 chord,859963,7384543,dance,60,2008
11460,Elliott Smith,"1,6,4",Verse,The Biggest Lie,3 chord,161522,1050907,indie,36,1995
11492,Galantis,"1,6,4",Intro,Gold Dust,3 chord,45689,317003,electronic,55,2015
11502,Villagers,"1,6,4",Chorus,Nothing Arrived,3 chord,76573,327803,2012 single,42,2013
11507,Becky G,"1,6,4",Chorus,Can't Stop Dancin',3 chord,55373,318889,pop,58,2014
11554,Alabama Shakes,"1,6,4",Intro,Gimme All Your Love,3 chord,121700,664143,rock,56,2015
11587,Journey,"1,6,4",Bridge,Lights,3 chord,202729,873456,pop,61,1978
11624,Phoenix,"1,6,4",Intro,1901,3 chord,953194,8826594,indie,67,2009
11640,Fire When Ready,"1,6,4",Verse,We All Need Reminders,3 chord,1541,8041,heard on Pandora,5,2005
11667,AM Taxi,"1,6,4",Intro,Charissa,3 chord,3573,23648,punk rock,34,2010
11673,Barry Manilow,"1,6,4",Chorus,Mandy,3 chord,166105,650101,pop,70,1974
11678,Twenty One Pilots,"1,6,4",Intro and Verse,Truce,3 chord,82998,694667,indie pop,66,2013
11689,Pendulum,"1,6,4",Chorus Lead-Out,Encoder,3 chord,138991,1159632,Drum and bass,44,2010
11710,Avicii,"1,6,4",Chorus,For A Better Day - KSHMR Remix,3 chord,4517,16120,dance,38,2015
11711,Tame Impala,"1,6,4",Chorus,Let It Happen,3 chord,385951,4027914,indie,76,2015
11716,Alanis Morissette,"1,6,4",Chorus,Head Over Feet,3 chord,406648,2133354,rock,9,2017
11741,Taylor Swift,"1,6,4",Verse,Blank Space,3 chord,309820,5333356,pop,69,2014
11746,Paramore,"1,6,4",Pre-Chorus and Chorus,Playing God,3 chord,347848,4020687,rock,61,2009
11767,Taylor Swift,"1,6,4",Verse,The Best Day,3 chord,172274,1099379,country,52,2008
11797,Chicago,"1,6,4",Outro,You're The Inspiration,3 chord,162765,631721,80s,44,2002
11807,Crowded House,"1,6,4",Verse,Don't Dream It's Over,3 chord,439314,2440249,80s,74,1986
11826,Rilo Kiley,"1,6,4",Verse,Silver Lining,3 chord,263913,1711466,indie,56,2007
11831,The Beach Boys,"1,6,4",Verse,Surfer Girl,3 chord,188938,669388,60s,36,2012
11841,Stephen Sondheim,"1,6,4",Verse,The Ballad of Sweeney Todd,3 chord,6460,34536,musical,32,2006
11849,Daya,"1,6,4",Chorus,Hide Away,3 chord,123630,643311,pop,66,2016
11854,Debbie Gibson,"1,6,4",Chorus,Out Of The Blue,3 chord,9067,35347,80s,38,1987
11865,Demi Lovato,"1,6,5",Bridge,Give Your Heart A Break,3 chord,252278,2773712,pop,68,2011
11874,Maroon 5,"1,6,5",Chorus,Payphone,3 chord,450424,3188862,maroon 5,73,2012
11895,The Wanted,"1,6,5",Intro,Glad You Came,3 chord,428907,3466782,pop,69,2012
11924,The White Stripes,"1,6,5",Intro,Seven Nation Army,3 chord,1547161,12404996,rock,76,2003
11930,Backstreet Boys,"1,6,5",Chorus,I Want It That Way,3 chord,594965,3052303,pop,79,2001
11950,Sigur Ros,"1,6,5",Intro,Hoppipolla,3 chord,790161,6946977,post-rock,50,2005
11969,Outkast,"1,6,5",Verse,Roses,3 chord,476502,2209119,Hip-Hop,73,2003
11984,Amy Diamond,"1,6,5",Chorus,Stay My Baby,3 chord,3065,19936,pop,20,2007
12000,Backstreet Boys,"1,6,5",Chorus,As Long As You Love Me,3 chord,327976,1624945,pop,61,1996
12021,Vance Joy,"1,6,5",Verse,Riptide,3 chord,628891,5845709,indie,80,2014
12052,Ylvis,"1,6,5",Verse,Massachusetts,3 chord,6449,30888,pop,33,2014
12092,Arctic Monkeys,"1,6,5",Intro,Fluorescent Adolescent,3 chord,1018822,10770966,indie rock,68,2007
12119,Calvin Harris,"1,6,5",Verse,Sweet Nothing,3 chord,401476,2924747,dance,20,2013
12124,Katy Perry,"1,6,5",Intro,Dark Horse,3 chord,471208,3804727,pop,78,2013
12150,Lorde,"1,6,5",Verse and Pre-Chorus,Team,3 chord,621418,6397232,pop,74,2013
12154,Katy Perry,"1,6,5",Verse,Legendary Lovers,3 chord,144532,1600728,pop,57,2013
12159,Lorde,"1,6,5",Chorus,Buzzcut Season,3 chord,366457,3783980,indie pop,66,2013
12169,Bonnie Mckee,"1,6,5",Chorus,American Girl,3 chord,39682,384473,pop,50,2013
12203,Billy Currington,"1,6,5",Chorus,We Are Tonight,3 chord,21139,119384,country,57,2013
12219,Regina Spektor,"1,6,5",Bridge,Human of the Year,3 chord,146905,871365,female vocalists,39,2009
12242,3OH3,"1,6,5",Chorus,Double Vision,3 chord,97430,909863,electronic,52,2010
12247,Foreigner,"1,6,5",Chorus,I Want to Know What Love Is,3 chord,451677,2001594,80s,36,2011
12251,360,"1,6,5",Intro,Run Alone,3 chord,10448,58116,australian,25,2011
12255,The Horrible Crowes,"1,6,5",Chorus,Cherry Blossoms,3 chord,17245,115023,rock,26,2011
12276,Alkaline Trio,"1,6,5",Intro,Help Me,3 chord,79259,561175,punk rock,40,2008
12295,Becky G,"1,6,5",Chorus,Shower,3 chord,206139,1378280,2014,76,2014
12300,Francesca Battistelli,"1,6,5",Verse,This Is The Stuff,3 chord,8788,41439,contemporary christian,44,2011
12322,Radiohead,"1,6,5",Pre-Chorus,Nude,3 chord,861670,8687383,alternative,64,2007
12331,Ella Henderson,"1,6,5",Chorus,Ghost,3 chord,213782,1639048,pop,58,2015
12343,Philip Glass,"1,6,5",Verse,Knee Play 1,3 chord,6735,19844,minimalism,11,2007
12354,Snarky Puppy,"1,6,5",Intro,Thing of Gold,3 chord,16063,66943,jazz,42,2012
12369,Black Milk,"1,6,5",Instrumental,Dirt Bells,3 chord,4981,13381,kss1984 - great,18,2014
12415,Years and Years,"1,6,5",Chorus,King,3 chord,283824,2924096,pop,63,2015
12429,Canaan Smith,"1,6,5",Chorus,Love You Like That,3 chord,22485,137805,country,65,2015
12451,Nine Inch Nails,"1,6,5",Intro and Verse,A Warm Place,3 chord,277166,1616679,industrial,40,1994
12459,Motion City Soundtrack,"1,6,5",Verse,The Future Freaks Me Out,3 chord,164894,1255141,alternative,56,2003
12471,Treble Charger,"1,6,5",Intro and Verse,Ever She Flows,3 chord,2029,12159,Canadian,17,1997
12473,Tracy Chapman,"1,6,5",Intro,Fast Car,3 chord,572711,3714350,tropical house,79,1988
12485,Fifth Harmony,"1,6,5",Chorus,Worth It,3 chord,234291,1477797,pop,76,2015
12505,Pavement,"1,6,5",Chorus,Cut Your Hair,3 chord,303116,1746991,indie,53,1994
12515,Toby Fox,"1,6,5",Bridge,Your Best Nightmare,3 chord,10196,54528,breakcore,50,2016
12520,Jackson Browne,"1,6,5",Chorus,Doctor My Eyes,3 chord,194373,650005,classic rock,68,1972
12530,Lake Street Dive,"1,6,5",Verse,Bad Self Portraits,3 chord,28132,120876,rock,55,2014
12535,Muse,"1,6,5",Pre-Chorus and Chorus,Mercy,3 chord,179467,1127203,hip hop,63,2015
12550,John Grant,"1,6,5",Verse,Outer Space,3 chord,33224,142811,folk,34,2010
12567,Rachel Platten,"1,6,5",Chorus,Stand By You,3 chord,50877,336629,pop,66,2016
12587,Jonas Blue,"1,6,5",Chorus,Fast Car,3 chord,64564,321340,tropical house,70,2015
12600,Death Cab For Cutie,"1,6,5",Verse,The Ice Is Getting Thinner,3 chord,256044,1725976,indie,48,2008
12624,Ed Sheeran,"1,6,5",Verse,Photograph,3 chord,435746,3769904,love at first listen,86,2014
12635,MGMT,"1,6,5",Verse and Pre-Chorus,Siberian Breaks,3 chord,224628,1240085,psychedelic,47,2010
12646,Eluveitie,"1,6,5",Intro,Inis Mona,3 chord,152575,1936585,folk metal,53,2008
12651,Timeflies,"1,6,5",Chorus,All the Way,3 chord,83319,327870,Hip-Hop,48,2014
12654,Jamie Lawson,"1,6,5",Verse,Wasn't Expecting That,3 chord,108025,542485,british,56,2015
12669,George Harrison,"1,6,1",Verse,My Sweet Lord,3 chord,573359,2677277,classic rock,78,1970
12697,Radiohead,"1,6,1",Intro and Verse,Videotape,3 chord,775782,6810392,alternative,59,2007
12732,LCD Soundsystem,"1,6,1",Bridge,Dance Yrself Clean,3 chord,430986,2941215,electronic,65,2010
12785,Johnny Cash,"1,6,1",Verse,Solitary Man,3 chord,168773,1028766,country,48,2000
12789,Plain White T's,"1,6,1",Chorus,Hey There Delilah,3 chord,976788,7348430,acoustic,81,2005
12811,Edvard Grieg,"1,6,1",Intro,Morning Mood,3 chord,82190,184851,Classical,39,2013
12821,Suzanne Vega,"1,6,1",Intro,Tom's Diner,3 chord,265528,1125515,female vocalists,56,1991
12831,Imagine Dragons,"1,6,1",Intro,Tiptoe,3 chord,337960,2193049,indie rock,56,2012
12851,The Knife,"1,6,1",Intro,Heartbeats,3 chord,640263,5621255,electronic,55,2003
12868,Alan Parsons Project,"1,6,1",Intro and Verse,Eye In The Sky,3 chord,280211,1440375,80s,44,1994
12894,Jess Glynne,"1,6,1",Chorus,Right Here,3 chord,64932,341399,rock,52,2014
12904,Billy Joel,"1,6,1",Intro,Big Shot,3 chord,106504,396226,rock,58,1978
12954,Chairlift,"1,6,1",Verse,Evident Utensil,3 chord,94266,409547,indie,28,2008
13032,DNCE,"1,6,1",Intro,CAKE BY THE OCEAN,3 chord,312308,2595217,pop,81,2016
13054,Mariah Carey,"1,6,1",Chorus,Heartbreaker,3 chord,103028,615060,pop,35,2015
13079,Kansas,"1,6,1",Intro,Dust In The Wind,3 chord,663354,3852180,classic rock,79,1977
13085,Justin Bieber,"1,6,2",Chorus,Boyfriend,3 chord,296306,2133806,pop,65,2012
13112,Wham,"1,6,2",Intro,Last Christmas,3 chord,604765,2642012,christmas,65,1984
13150,Lily Allen,"1,6,2",Verse,Fuck You,3 chord,578562,4068614,pop,60,2009
13154,Dusty Springfield,"1,6,2",Chorus,You Don't Have to Say You Love Me,3 chord,181300,673740,60s,51,1966
13204,Maroon 5,"1,6,2",Chorus,This Love,3 chord,1087395,6091849,pop,78,2002
13210,Madonna,"1,6,2",Chorus,Frozen,3 chord,449151,2907925,pop,61,1998
13241,Disperse,"1,6,2",Chorus,Message From Atlantis,3 chord,8081,50673,metal,29,2013
13251,Michael Jackson,"1,6,2",Pre-Chorus,Earth Song,3 chord,350326,1825941,pop,64,1995
13288,Toby Fox,"1,6,2",Verse,Determination,3 chord,13513,57753,Soundtrack,48,2016
13301,The Beach Boys,"1,6,2",Intro,Wouldn't It Be Nice,3 chord,693739,3736924,60s,57,2012
13308,Rustie,"1,6,2",Pre-Chorus and Chorus,Beast Nite,3 chord,8471,27210,beats,7,2010
13312,Red Velvet,"1,6,2",Pre-Chorus and Chorus,Cool World,3 chord,14569,145751,love at first listen,43,2015
13356,E-Type,"1,6,2",Intro,Angels Crying,3 chord,28647,166537,dance,48,1998
13366,Boney M,"1,6,2",Chorus,Daddy Cool,3 chord,307921,1305020,Disco,70,1976
13380,Mariah Carey,"1,6,2",Chorus,Honey,3 chord,155471,975574,pop,63,1997
13408,John Mayer,"1,6,3",Pre-Chorus,The Heart of Life,3 chord,381878,2457466,acoustic,68,2006
13423,311,"1,6,3",Intro,Amber,3 chord,426813,2172343,reggae,67,2004
13440,Leona Lewis,"1,6,3",Verse,I Will Be,3 chord,154721,732060,pop,43,2007
13454,Paul Kelly,"1,6,3",Intro and Verse,From Little Things Big Things Grow,3 chord,9511,42681,rock,36,1991
13469,Angus and Julia Stone,"1,6,3",Verse,Big Jet Plane,3 chord,390392,3018281,indie,66,2010
13479,David Bowie,"1,6,3",Chorus,Starman,3 chord,576479,3681333,classic rock,30,2016
13498,Lily Allen,"1,6,3",Chorus,The Fear,3 chord,607537,4710891,pop,45,2009
13516,Family of the Year,"1,6,3",Chorus,Hero,3 chord,288184,1894027,pop,66,2012
13525,Laura Branigan,"1,6,3",Chorus,Self Control,3 chord,292922,1469656,80s,71,1984
13547,Gold Motel,"1,6,3",Chorus,Brand New Kind of Blue,3 chord,9963,42376,pop,35,2012
13569,Rod Stewart,"1,6,3",Chorus,Young Turks,3 chord,109730,555560,80s,53,1989
13574,Pinback,"1,6,3",Verse,Crutch,3 chord,49683,248647,indie,33,1999
13579,The Living End,"1,6,3",Chorus,West End Riot,3 chord,31433,157131,punk,28,1999
13585,Wavves,"1,6,3",Verse,Afraid of Heights,3 chord,43260,232407,rock,35,2013
13590,The Verve,"1,6,3",Verse and Pre-Chorus,The Drugs Don't Work,3 chord,435630,2194604,britpop,65,1997
13597,Marnie,"1,6,3",Chorus,We Are The Sea,3 chord,6405,41004,electronic,21,2013
13607,Roy Orbison,"1,6,3",Verse and Pre-Chorus,You Got It,3 chord,231164,1045118,oldies,70,1989
13612,Cults,"1,6,3",Chorus,Always Forever,3 chord,105590,499863,indie rock,62,2013
13627,Spice Girls,"1,6,3",Chorus,Viva Forever,3 chord,224027,1183012,pop,61,1997
13633,Muse,"1,6,3",Chorus,Explorers,3 chord,199373,1193190,alternative rock,51,2012
13638,Beach House,"1,6,3",Verse,Wishes,3 chord,196090,1294959,dream pop,45,2012
13647,Beyonce,"1,2,6",Intro,Halo,3 chord,994340,7635723,pop,80,2008
13652,Beyonce,"1,2,6",Chorus,Sweet Dreams,3 chord,634650,4539890,beyonce,63,2008
13666,Muse,"1,2,6",Verse,Starlight,3 chord,1371686,13106845,alternative rock,75,2006
13675,Rihanna,"1,2,6",Intro,Stay,3 chord,271190,1826826,pop,68,2012
13681,Sia,"1,2,6",Chorus,Soon We'll Be Found,3 chord,163239,1062820,female vocalists,47,2008
13703,Katy Perry,"1,2,6",Verse,Roar,3 chord,554252,6232178,pop,79,2013
13709,Jimmy Hendrix,"1,2,6",Intro,Little Wing,3 chord,569477,3148346,classic rock,71,1967
13723,Mary Hopkin,"1,2,6",Chorus,Those Were The Days,3 chord,41174,164198,60s,27,2013
13728,Jimi Hendrix,"1,2,6",Intro and Verse,Little Wing,3 chord,569477,3148346,classic rock,71,1967
13733,Steve Angello,"1,2,6",Chorus,SLVR,3 chord,12635,35631,party,40,2013
13760,Syn Cole,"1,2,6",Chorus,Miami 82 - Avicii Edit,3 chord,8769,26473,electronic,33,2013
13785,Lorde,"1,2,6",Verse,Ribs,3 chord,360998,3506000,pop,69,2013
13805,Frank Zappa,"1,2,6",Pre-Chorus,Heavy Duty Judy,3 chord,17324,57621,Progressive rock,19,1981
13822,Beyonce,"1,2,6",Chorus,Pretty Hurts,3 chord,194879,1882067,rnb,66,2014
13832,Monika Brodka,"1,2,6",Chorus,Varsovie,3 chord,41401,477879,polish,47,2012
13858,Bossfight,"1,2,6",Verse,Milky Ways,3 chord,7158,51677,chiptune,50,2012
13867,Latitudes,"1,2,6",Chorus,Antechamber,3 chord,13013,59873,Post-Metal,17,2009
13911,M83,"1,2,6",Instrumental,Outro,3 chord,277178,1627372,perfect to listen to while leaving the planet,58,2011
13916,Metric,"1,2,6",Intro and Verse,Help I'm Alive,3 chord,464828,4074735,indie,61,2009
13932,Gavin DeGraw,"1,2,6",Intro,Not Over You,3 chord,192626,1119344,pop,70,2011
13943,Incubus,"1,2,6",Intro,Aqueous Transmission,3 chord,336883,1658133,chillout,56,2001
13966,Twenty One Pilots,"1,2,6",Verse,Ride,3 chord,347645,3155593,indie,83,2015
13979,Regina Spektor,"1,2,6",Instrumental,You've Got Time,3 chord,102494,560940,orange is the new black,42,2014
13984,Motion City Soundtrack,"1,2,6",Pre-Chorus,Antonia,3 chord,63057,414328,rock,42,2008
13991,Dschinghis Khan,"1,2,6",Chorus,Moskau,3 chord,79135,427289,Disco,53,2013
13996,Sia,"1,2,6",Chorus,Fire Meet Gasoline,3 chord,149623,1390348,pop,56,2015
14013,Justice,"1,2,6",Verse,Helix,3 chord,132022,663247,electronic,41,2011
14018,Feist,"1,2,6",Verse,1234,3 chord,677383,4054507,female vocalists,62,2007
14023,Selena Gomez,"1,2,6",Verse,Same Old Love,3 chord,208426,2132701,pop,68,2015
14028,Vandenberg,"1,2,6",Verse,Burning Heart,3 chord,12008,52326,rock,44,1982
14034,Nicki Minaj,"1,2,6",Verse,Pills N Potions,3 chord,126205,927718,rap,61,2014
14046,Boards of Canada,"1,2,6",Intro,Skyliner,3 chord,78463,529203,electronic,30,2006
14073,Sigala,"1,2,6",Chorus,Easy Love,3 chord,99558,532997,2015,68,2018
14078,Ben Rector,"1,2,6",Chorus,Brand New,3 chord,40609,159620,Soundtrack,67,2015
14089,Ozzy Osbourne,"1,2,6",Intro and Verse,Diary of a Madman,3 chord,114565,486499,heavy metal,51,1981
14094,Thom Yorke,"1,2,6",Intro,Black Swan,3 chord,564683,3250685,alternative,57,2006
14102,Drake,"1,2,6",Verse,One Dance,3 chord,367654,3143069,dancehall,83,2016
14117,Hailee Steinfeld,"1,2,6",Chorus,Starving,3 chord,184144,1238745,pop,81,2016
14122,Blink-182,"1,2,6",Intro and Verse,Here's Your Letter,3 chord,216564,1348799,punk rock,51,2003
14146,Alex Clare,"1,2,4",Intro,Too Close,3 chord,476473,3764746,dubstep,61,2011
14151,Nena,"1,2,4",Intro,99 Luftballons,3 chord,409948,1854315,80s,74,1983
14156,Ratatat,"1,2,4",Instrumental,Loud Pipes,3 chord,433160,3100051,electronic,60,2006
14162,Ben Folds Five,"1,2,4",Verse,Kate,3 chord,135622,565173,alternative,42,1997
14173,Bobby McFerrin,"1,2,4",Intro,Don't Worry Be Happy,3 chord,337611,1292724,reggae,68,1988
14179,The Temptations,"1,2,4",Chorus,My Girl,3 chord,624330,2727878,soul,81,1965
14184,Kurt Vile,"1,2,4",Verse,Jesus Fever,3 chord,133711,681266,indie,39,2011
14189,Death Cab for Cutie,"1,2,4",Chorus,Title and Registration,3 chord,537392,4296184,indie,54,2003
14209,Pat Benatar,"1,2,4",Pre-Chorus,Invincible,3 chord,47838,196391,80s,49,1985
14224,Coldplay,"1,2,4",Verse,Green Eyes,3 chord,789224,4968632,rock,65,2002
14242,Lily Allen,"1,2,4",Bridge,Sheezus,3 chord,82014,601970,give me that crown bitch,34,2014
14257,Soundprank,"1,2,4",Chorus,Animus,3 chord,6327,22065,canada trance,16,2013
14274,La Roux,"1,2,4",Chorus,Bulletproof,3 chord,700251,5890710,electropop,66,2009
14279,Thursday,"1,2,4",Chorus,Friends In The Armed Forces,3 chord,26641,149591,post-hardcore,21,2009
14303,Pink Floyd,"1,2,4",Chorus,High Hopes,3 chord,457786,4429236,Progressive rock,61,1994
14310,Kitaro,"1,2,4",Verse,Jubei's Theme,3 chord,10343,21981,anime,11,2003
14325,Reel Big Fish,"1,2,4",Instrumental,Sell Out,3 chord,241961,1235088,ska,61,1996
14344,Adam Lambert,"1,2,4",Verse,Ghost Town,3 chord,156598,1340634,pop,67,2015
14366,Death Cab For Cutie,"1,2,4",Verse,The Sound of Settling,3 chord,577464,4208733,indie,52,2003
14382,Oh Land,"1,2,4",Chorus,Helicopter,3 chord,51799,255928,experimental,21,2011
14387,Absofacto,"1,2,4",Chorus,Dissolve,3 chord,54838,307132,cover,77,2017
14397,Tame Impala,"1,2,4",Chorus,The Moment,3 chord,252627,1889887,Psychedelic Rock,69,2015
14404,Mike Posner,"1,2,4",Chorus,Please Don't Go,3 chord,218809,1259786,pop,64,2010
14415,Hozier,"1,2,4",Chorus,Jackie And Wilson,3 chord,180076,1025786,party,67,2014
14421,AlunaGeorge,"1,2,4",Instrumental,Supernatural,3 chord,80388,336847,electronic,45,2014
14426,Phish,"1,2,4",Chorus Lead-Out,Waste,3 chord,41886,195334,acoustic,50,1996
14436,DJ Khaled,"1,2,4",Instrumental,I'm On One,3 chord,57338,267344,hip hop,68,2011
14441,New Order,"1,2,4",Verse,Blue Monday,3 chord,671671,3644840,80s,45,1998
14471,Christina Aguilera,"1,2,4",Chorus,Fighter,3 chord,480063,3272608,pop,70,2002
14481,Bill Withers,"1,2,3",Intro,Lean on Me,3 chord,292409,1171632,soul,71,1972
14502,The Cure,"1,2,3",Intro,Boys Don't Cry,3 chord,1000107,7030891,80s,42,2001
14512,Styx,"1,2,3",Intro,Come Sail Away,3 chord,276376,1124375,classic rock,67,1977
14517,Nikki Williams,"1,2,3",Chorus,Glowing,3 chord,10825,94359,pop,37,2012
14586,Jack White,"1,2,3",Verse,Sixteen Saltines,3 chord,290261,1681437,rock,53,2012
14599,Dousk,"1,2,3",Chorus,Winchme,3 chord,2420,9673,House,26,2012
14630,The Cinematics,"1,2,3",Chorus,Hard For Young Lovers,3 chord,13435,51605,indie,6,2009
14643,Rustie,"1,2,3",Chorus,Hover Traps,3 chord,39467,183412,dubstep,21,2011
14662,The Monkees,"1,2,3",Intro and Verse,Sometime In The Morning,3 chord,17487,49830,60s,25,2003
14683,Fleet Foxes,"1,2,3",Verse,He Doesn't Know Why,3 chord,441036,3126121,indie,49,2008
14704,Yes,"1,2,3",Verse,I've Seen All Good People,3 chord,100696,354293,Progressive rock,9,2002
14779,Aesop Rock,"1,2,1",Instrumental,Daylight,3 chord,180771,1241290,Hip-Hop,53,2001
14801,Clint Mansell,"1,2,1",Instrumental,Welcome To Lunar Industries,3 chord,89780,501354,Soundtrack,48,2009
14817,Aloe Blacc,"1,2,1",Chorus,The Man,3 chord,240750,1333640,soul,61,2014
14822,Olivia Newton-John,"1,2,1",Chorus,Twist of Fate,3 chord,38625,154834,80s,40,2002
14838,Kansas,"1,2,1",Verse,Carry On My Wayward Son,3 chord,686882,4580212,classic rock,77,1976
14874,Eisley,"1,2,1",Chorus,Marvelous Things,3 chord,99333,617662,indie,35,2005
14882,Tame Impala,"1,2,1",Chorus,Mind Mischief,3 chord,347783,2614107,Psychedelic Rock,66,2012
14892,The Chemical Brothers,"1,2,1",Intro and Verse,Galvanize,3 chord,576058,2647252,electronic,65,2005
14897,Bonobo,"1,2,1",Verse,Kong,3 chord,356151,2690803,downtempo,59,2010
14930,Sia,"1,2,1",Verse,Reaper,3 chord,98861,608987,pop,57,2016
14947,Slowdive,"1,2,1",Chorus,When The Sun Hits,3 chord,244677,1956441,shoegaze,55,1993
14982,Madonna,"1,2,5",Chorus,Take A Bow,3 chord,166166,1047613,pop,54,2009
15005,The Ronettes,"1,2,5",Verse,Be My Baby,3 chord,427557,2066769,60s,73,2011
15036,The Moody Blues,"1,2,5",Verse,The Story in your Eyes,3 chord,83494,276197,classic rock,47,1971
15068,Alligatoah,"1,2,5",Chorus Lead-Out,Willst Du,3 chord,60879,603094,german,67,2013
15102,Meghan Trainor,"1,2,5",Pre-Chorus and Chorus,All About That Bass,3 chord,388275,2969641,pop,71,2015
15107,Kylie Minogue,"1,2,5",Chorus,Get Outta My Way,3 chord,179061,2543299,pop,58,2010
15151,Ariel Pink,"1,2,5",Intro,Lipstick,3 chord,103919,568536,lo-fi as hell,60,2014
15182,Terry Jacks,"1,2,5",Chorus,Seasons In The Sun,3 chord,114285,475186,70s,53,1972
15247,Gigi D'Agostino,"1,2,16",Intro,The Riddle,3 chord,141671,844673,dance,67,2006
15259,Pendulum,"1,2,16",Chorus,The Vulture,3 chord,168715,1473590,Drum and bass,48,2010
15279,Lily Allen,"1,2,16",Chorus,Smile,3 chord,750197,4495458,2013,56,2006
15286,Jon Schmidt,"1,2,16",Instrumental,Waterfall,3 chord,13659,37730,piano,48,1993
15331,The Darkness,"1,2,16",Chorus,I Believe In A Thing Called Love,3 chord,561567,3170073,rock,71,2003
15346,America,"1,2,16",Chorus,A Horse With No Name,3 chord,521995,2945666,classic rock,34,2011
15430,Counting Crows,"4,1,5",Verse,Walkaways,3 chord,68543,227577,counting crows,39,1996
15528,Jet,"4,1,5",Pre-Chorus and Chorus,Are You Gonna Be My Girl,3 chord,1044644,5969246,rock,77,2003
15540,Nickelback,"4,1,5",Verse,Photograph,3 chord,607544,3491637,love at first listen,69,2005
15662,The verve,"4,1,5",Intro,Bittersweet Symphony,3 chord,1194734,8354266,britpop,80,1997
15680,TLC,"4,1,5",Chorus,Waterfalls,3 chord,494374,1852618,rnb,74,1994
15794,Lil Wayne,"4,1,5",Verse,Lollipop,3 chord,799,2147,hip hop,74,2008
15910,Lifehouse,"4,1,5",Chorus,Halfway Gone,3 chord,186216,1066828,rock,53,2010
