artist,cp,section,song,type
Animusic,"4,5,6",Solo 2,Future Retro,3 chord
Animusic,"1,5,4",Chorus,Harmonic Voltage,3 chord
Animusic,"1,5,4",Bridge,Heavy Light,3 chord
Animusic,"1,2,5",Pre-Outro,Pipe Dream,3 chord
Animusic,"5,4,1",Chorus,Pogo Sticks,3 chord
Animusic,"1,5,4",Chorus,Stick Figures,3 chord
Anna Kendrick,"1,4,1",Verse,Cups - Pitch Perfect's 'When I'm Gone',3 chord
Anne Murray,"4,5,1",Chorus,Danny's Song,3 chord
Annie Lennox,"1,5,1",Chorus,Into The West,3 chord
Antonim,"1,5,6",Chorus,Melancholy Soldier,3 chord
Antonin Dvorak,"1,6,4",Bridge,Humoresque Op 101 No 7,3 chord
Aphex Twin,"6,1,4",Verse,Windowlicker,3 chord
Apollo,"1,4,5",Pre-Chorus,Dance - Re-Con Remix,3 chord
Apollo Brown and OC,"6,4,6",Instrumental,Signs,3 chord
Aqua,"1,6,2",Chorus,Barbie Girl,3 chord
Aqualung,"1,4,6",Chorus,Brighter Than Sunshine,3 chord
Arash Feat Sean Paul,"6,4,5",Intro,She Makes Me Go,3 chord
Arcade Fire,"1,4,1",Chorus,Rebellion,3 chord
Arcade Fire,"5,1,6",Intro and Verse,The Suburbs,3 chord
Archie,"1,4,5",Chorus,Famous,3 chord
Archie feat Brenton Mattheus,"4,5,6",Chorus,Kingdom,3 chord
Archie feat Brenton Mattheus,"1,4,5",Verse and Pre-Chorus,Kingdom ,3 chord
Arctic Monkeys,"6,4,2",Verse,Do I Wanna Know,3 chord
Arctic Monkeys,"1,6,5",Intro,Fluorescent Adolescent,3 chord
Arctic Monkeys,"1,5,6",Chorus,Mardy Bum,3 chord
Area 11,"1,5,6",Intro and Verse,Heaven Piercing Giga Drill,3 chord
Aretha Franklin,"4,5,3",Chorus,I Say A Little Prayer,3 chord
Ariana Grande,"6,2,3",Chorus,Love Me Harder ft The Weeknd,3 chord
Ariana Grande,"1,4,6",Chorus,One Last Time,3 chord
Ariana Grande,"1,4,6",Chorus,Santa Tell Me,3 chord
Ariana and the Rose Kevin Drew Remix,"4,5,6",Verse and Pre-Chorus,In Your Bed,3 chord
Arias,"1,5,6",Chorus,Pegasus,3 chord
Ariel Pink,"1,2,5",Intro,Lipstick,3 chord
ArmanArX,"1,4,1",Chorus,Dia Melihatku,3 chord
ArmanArX,"1,5,6",Chorus,Gila Dengan Kertas-Kertas,3 chord
ArmanArX,"1,4,5",Chorus,Jangan Play,3 chord
ArmanArX,"1,4,5",Chorus,LKY Fansku Tapi Hatersku,3 chord
ArmanArX,"1,4,5",Chorus,SalahBeli,3 chord
ArmanArX,"1,5,6",Intro and Verse,Sukirman,3 chord
ArmanArX,"1,6,5",Chorus,Syahrini STICKER vs ArmanArX STICKER,3 chord
ArmanArX,"1,4,5",Instrumental,Telepon Gebetan LINE CALL,3 chord
ArmanArX,"1,5,4",Instrumental,Tolong Jangan Nangis Bayi,3 chord
Armin Van Buuren,"6,4,2",Chorus,Orbion,3 chord
Armin Van Buuren,"6,5,4",Chorus,Pulsar,3 chord
Armin van Buuren,"4,1,5",Intro,Alone,3 chord
Armin van Buuren,"1,4,5",Chorus,Sound Of The Drums,3 chord
Armin van Buuren,"1,6,4",Intro,This Is What It Feels Like,3 chord
Armin van Buuren feat Cimo Frankel,"1,2,6",Pre-Chorus and Chorus,Strong Ones,3 chord
Armin van Buuren featuring Laura V - Avicii Remix,"6,4,1",Chorus,Drowning,3 chord
Arno Cost,"6,3,2",Chorus,Strong,3 chord
Art Garfunkel,"4,5,3",Chorus,Bright Eyes,3 chord
Art of Noise,"6,3,2",Bridge,Moments in Love,3 chord
Arthur,"1,5,6",Chorus,Beginning of time,3 chord
