artist,cp,section,song,type
Mike Candys,"1,5,6",Intro,Brand New Day,3 chord
Mike Candys,"1,5,6",Intro and Verse,Everybody,3 chord
Mike Candys,"4,5,1",Intro,One Night in Ibiza,3 chord
Mike Candys,"4,5,6",Intro,T-Rex,3 chord
Mike Oldfield,"1,5,6",Verse and Pre-Chorus,Moonlight Shadow feat Maggie Reilly,3 chord
Mike Oldfield,"6,2,6",Verse,Nuclear,3 chord
Mike Oldfield,"4,5,1",Solo,Women Of Ireland,3 chord
Mike Posner,"6,4,5",Bridge,Cooler Than Me,3 chord
Mike Posner,"6,5,4",Chorus,I Took A Pill In Ibiza - SeeB Remix,3 chord
Mike Posner,"1,2,4",Chorus,Please Don't Go,3 chord
Mikkas,"4,5,6",Instrumental,Syndrome,3 chord
Miley Cyrus,"6,1,4",Intro,Fly on the Wall,3 chord
Miley Cyrus,"1,5,6",Intro,Jolene,3 chord
Miley Cyrus,"6,5,1",Verse,Party in the USA,3 chord
Miley Cyrus,"1,5,4",Chorus,See You Again,3 chord
Miley Cyrus,"6,4,5",Chorus,We Can't Stop,3 chord
Miley Cyrus,"1,5,6",Chorus,Wrecking Ball,3 chord
Milky Chance,"6,5,4",Verse,Stolen Dance,3 chord
Miller 64,"1,5,4",Verse,Living The Dream,3 chord
Milomir Martic,"6,5,6",Intro,Cujte bando islamska,3 chord
Milow,"4,6,5",Chorus,Ayo Technology,3 chord
Minami-ke Tadaima OP,"1,5,6",Verse,Shiawase High Tension,3 chord
Mindless Self Indulgence BDM Remix,"1,6,3",Intro and Verse,Straight to the Video,3 chord
Mini Pati,"1,4,5",Chorus Lead-Out,Acha Cha Kare,3 chord
Mini Pati,"1,4,5",Chorus Lead-Out,Acha Cha Karee,3 chord
Mini Pati,"1,5,6",Bridge,Hirari Kirakira Yami Yami Museum,3 chord
Mini Pati,"5,6,1",Pre-Chorus,Hirari kirakira Yami Yami Museum,3 chord
Miranda Cosgrove,"1,6,4",Chorus,Leave It All To Me,3 chord
Miriam Bryant,"1,5,6",Verse and Pre-Chorus,Dragon,3 chord
Miriam Bryant,"1,5,6",Chorus,Push Play,3 chord
Miss A,"6,5,4",Chorus,Good-bye Baby,3 chord
Missy Higgins,"1,5,4",Chorus,Night Minds,3 chord
MistFolk,"1,5,6",Pre-Chorus and Chorus,Storm Spirits,3 chord
MisterWives,"5,6,4",Verse and Pre-Chorus,Reflections,3 chord
Misuzu Togashi--Makoto Miyazaki,"1,4,1",Chorus,Fly Away--Maken-ki-OP1,3 chord
Mitch Benn,"1,5,1",Verse,Mitch Benn's Imagine,3 chord
Mitch Benn And The Distractions,"1,5,6",Verse,Everything Sounds Like Coldplay Now,3 chord
MitiS,"1,5,6",Chorus,Born,3 chord
MitiS,"1,4,5",Intro,Innocent Discretion,3 chord
MitiS,"6,5,4",Verse,Life,3 chord
MitiS,"1,5,6",Bridge,Vulnerability,3 chord
MitiS,"1,2,4",Intro,WildFlower,3 chord
Mladen Milicevic,"6,5,6",Verse,The Room,3 chord
Moby,"5,2,4",Intro,Porcelain,3 chord
Moby with Wayne Coyne,"1,5,4",Intro and Verse,The Perfect Life,3 chord
Modern English,"1,4,1",Verse,I Melt With You,3 chord
Modern Mothers,"5,1,4",Verse,Millions of People,3 chord
Modest Mouse,"1,4,6",Verse,Ocean Breathes Salty,3 chord
Moguai,"6,3,4",Chorus,Champs,3 chord
Mongo Santamaria,"4,5,6",Verse,Afro Blue,3 chord
Monica,"1,4,6",Verse,Angel Of Mine,3 chord
Monika Brodka,"1,5,2",Verse,Granda,3 chord
Monika Brodka,"1,2,6",Chorus,Varsovie,3 chord
Monika Brodka,"1,4,5",Verse,W pieciu smakach,3 chord
MooseHeadMoosic,"1,6,4",Verse,Rainbow Chicken Dance,3 chord
Morandi,"4,5,6",Bridge,Colors,3 chord
Mord Fustang,"1,4,1",Chorus,The Electric Dream,3 chord
Morgan Page,"4,6,5",Chorus,Body Work ft Tegan and Sara,3 chord
Morgan Page vs Sultan and Ned Shepard vs BT,"4,5,4",Chorus,In The Air - Mord Fustang Remix,3 chord
Mortal Kombat,"1,5,4",Intro,Techno Syndrome,3 chord
Morten Hampenberg,"6,5,4",Chorus,Kiss Me,3 chord
Motion City Soundtrack,"1,2,6",Pre-Chorus,Antonia,3 chord
Motion City Soundtrack,"1,4,1",Verse,Capital H,3 chord
Motion City Soundtrack,"1,4,6",Chorus,Everything Is Alright,3 chord
Motion City Soundtrack,"1,6,5",Verse,The Future Freaks Me Out,3 chord
Motoi Sakuraba,"1,5,6",Verse,Longing - Dark Souls II Soundtrack,3 chord
Motoi Sakuraba,"1,5,2",Chorus,The Hidden Village,3 chord
Motoi Sakuraba,"1,5,6",Verse,The Imperial City,3 chord
Motoi Sakuraba,"1,5,4",Verse,The Silvery Snowland,3 chord
Motooi Sakuraba,"1,5,4",Instrumental,The Link,3 chord
Mozart,"1,5,1",Intro and Verse,Mozart Clarinet Concerto K622 Andante,3 chord
Mozart,"1,4,5",Chorus,Turkish March,3 chord
Mr Big,"1,4,1",Verse and Pre-Chorus,To Be With You,3 chord
Mr Death,"4,5,6",Chorus,Red Velvet,3 chord
Mr Probz ,"4,6,5",Verse,Waves Robin Schulz Remix,3 chord
Mt Eden,"6,4,2",Chorus,Sierra Leone,3 chord
Mu's,"1,4,5",Intro,Love Live - Angelic Angel,3 chord
Mu's,"4,5,1",Chorus,Love Live S2 - Yume no Tobira,3 chord
Mumford and Sons,"4,5,4",Chorus,Babel,3 chord
Mumford and Sons,"1,5,4",Verse,Little Lion Man,3 chord
Mumford and Sons,"1,6,4",Bridge,Sigh No More,3 chord
Mumford and Sons,"1,5,6",Chorus,The Cave,3 chord
Mungo Jerry,"1,5,4",Verse,In the Summertime,3 chord
Murray Gold,"1,5,1",Chorus,Doctor Who Credits Theme,3 chord
Murray Gold,"6,4,5",Intro,I Am The Doctor,3 chord
Murray Gold,"1,5,6",Verse,The Doctor's Theme Series 4,3 chord
Murray Gold,"6,5,4",Intro,The Majestic Tale,3 chord
Murtagh,"4,1,5",Chorus,Alpha,3 chord
Muse,"4,5,6",Verse,Aftermath,3 chord
Muse,"4,5,6",Verse,Blackout,3 chord
Muse,"6,5,2",Intro,Bliss,3 chord
Muse,"4,6,4",Chorus,Butterflies And Hurricanes,3 chord
Muse,"1,5,6",Bridge,Dead Inside,3 chord
Muse,"6,2,4",Chorus,Endlessly,3 chord
Muse,"1,5,1",Chorus,Exogenesis,3 chord
Muse,"1,6,3",Chorus,Explorers,3 chord
Muse,"4,1,5",Verse,Falling Away With You,3 chord
Muse,"1,4,5",Verse,Guiding Light,3 chord
Muse,"1,5,2",Chorus,Hysteria,3 chord
Muse,"1,5,2",Bridge,Knights of Cydonia,3 chord
Muse,"1,4,1",Solo,Madness,3 chord
Muse,"1,6,5",Pre-Chorus and Chorus,Mercy,3 chord
Muse,"6,4,1",Verse,New Born,3 chord
Muse,"1,4,1",Verse,Prague,3 chord
Muse,"1,5,2",Verse,Psycho,3 chord
Muse,"4,6,5",Pre-Chorus,Resistance,3 chord
Muse,"1,5,6",Pre-Chorus and Chorus,Revolt,3 chord
Muse,"1,2,6",Verse,Starlight,3 chord
Muse,"6,5,4",Intro,The Globalist,3 chord
Muse,"1,4,5",Pre-Chorus and Chorus,Time Is Running Out,3 chord
Muse,"5,1,4",Chorus,Unintended,3 chord
Muse,"6,2,5",Verse,United States Of Eurasia,3 chord
Mutemath,"1,4,5",Chorus,Typical,3 chord
Muzzy,"4,5,6",Intro,The Phantom,3 chord
MxPx,"4,1,5",Intro and Verse,Wrecking Hotel Rooms,3 chord
My Bloody Valentine,"4,5,1",Intro,Only Shallow,3 chord
My Chemical Romance,"1,5,4",Chorus,Teenagers,3 chord
My Heart,"6,5,6",Intro,Subtact,3 chord
My Little Pony,"1,4,1",Chorus,Giggle at the Ghosty,3 chord
My Little Pony,"1,2,3",Outro,Smile Smile Smile,3 chord
My Little Pony,"1,4,5",Chorus,Winter Wrap Up,3 chord
Myla Smith,"1,4,5",Verse,Can't Say No,3 chord
Myla Smith,"1,6,4",Verse and Pre-Chorus,Slow Down,3 chord
Mylene Farmer,"4,6,5",Pre-Chorus,Desechantee,3 chord
Mylene Farmer,"4,5,6",Chorus,Desenchantee,3 chord
Mylene Farmer,"4,5,4",Chorus,Libertine,3 chord
NERD,"4,5,6",Verse,She Wants To Move,3 chord
NIGORO,"1,4,5",Pre-Chorus,Fearless Challenger,3 chord
NIGORO,"4,5,6",Pre-Chorus,Giant's Cry,3 chord
NIGORO,"6,5,6",Pre-Chorus and Chorus,Grand History,3 chord
NIGORO,"4,5,6",Chorus,Mr Explorer,3 chord
NOFX,"1,5,4",Intro,Leave It Alone,3 chord
NOFX,"1,5,6",Chorus,Please Play This Song On The Radio,3 chord
NONONO,"1,4,6",Chorus,Pumpin Blood,3 chord
Nadia Ali,"1,4,5",Intro and Verse,Pressure,3 chord
Nadia Ali,"1,5,4",Chorus,Rapture - Avicii Remix,3 chord
Nakatomi,"1,6,4",Chorus,Children Of The Night,3 chord
Namco,"1,5,6",Verse,New Rally-X Theme,3 chord
Nana Mizuki,"6,5,4",Intro,Dancing in the Velvet Moon - Vampire Rosario,3 chord
Naoki Kodaka,"4,5,4",Intro and Verse,Blaster Master - Area 3,3 chord
Naoki Kodaka,"6,4,5",Instrumental,NES Batman - Stage 1 - Streets of Desolation,3 chord
Naomi,"5,2,1",Intro,Three Stars No Match,3 chord
Naruto,"1,5,6",Instrumental,Sadness and Sorrow,3 chord
Natalia Nykiel,"1,5,6",Chorus,Badz Duzy,3 chord
Natalie Imbruglia,"1,5,6",Chorus,Torn,3 chord
Natasha Bedingfield,"1,5,4",Chorus,Pocketful of Sunshine,3 chord
Natasha Bedingfield,"1,5,6",Chorus,These Words,3 chord
Natasha Bedingfield,"4,1,6",Pre-Chorus and Chorus,Unwritten,3 chord
Nate Ruess,"1,5,1",Chorus,Great Big Storm,3 chord
Nathan Ford,"4,6,5",Chorus,Apologies for the Rain,3 chord
Nathan Ford,"4,5,6",Chorus,Crystal Geode Jam,3 chord
Nathan Ford,"6,4,5",Verse,Deck of War - Battle,3 chord
Nathan Ford,"4,5,1",Chorus,Deck of War - Title,3 chord
Nathan Ford,"1,2,3",Chorus,For Better Or Worse - Ending,3 chord
Nathan Ford,"1,4,1",Verse,Funky Freeway,3 chord
Nathan Ford,"4,5,4",Chorus,Serious Beat in B Minor,3 chord
Nathan Ford,"1,2,16",Verse,Sun Town,3 chord
Native Construct,"1,4,5",Chorus,Chromatic Aberration,3 chord
Nause,"6,4,1",Chorus,Another You,3 chord
Nause,"4,1,5",Chorus,Hungry Hearts,3 chord
Neighborhood Annoyance ,"1,5,6",Solo,ICE CREAM TRUCK,3 chord
Neil Finn,"6,3,4",Verse,Song of the Lonely Mountain,3 chord
Neil Sedaka,"1,4,1",Chorus,Calendar Girl,3 chord
Nelly,"1,5,6",Instrumental,Just A Dream,3 chord
Nelly,"4,6,5",Chorus,Ride With Me,3 chord
Nelly Furtado,"1,5,4",Chorus,All Good Things,3 chord
Nelly Furtado,"1,5,2",Chorus,I'm Like A Bird,3 chord
Nelly Furtado,"5,6,4",Chorus,Maneater,3 chord
Nelly Furtado,"6,5,4",Chorus,Say It Right,3 chord
Nelly ft Jeremih,"1,5,6",Chorus,The Fix,3 chord
Nena,"1,2,4",Intro,99 Luftballons,3 chord
Neo Cortex,"1,5,6",Chorus,Elements,3 chord
Neo Cortex,"1,5,6",Chorus,Elements 2004,3 chord
Neon Indian,"1,5,2",Verse,Annie,3 chord
Neon Indian,"4,6,5",Instrumental,Heart Decay,3 chord
Neon Indian,"4,5,3",Instrumental,Polish Girl,3 chord
Neon Trees,"1,5,4",Chorus,Animal,3 chord
Neon Trees,"1,4,1",Verse,Everybody Talks,3 chord
Neopets,"6,5,2",Verse,Time Tunnel,3 chord
Nerf Herder,"6,1,3",Intro,Buffy The Vampire Slayer Theme,3 chord
Nero,"1,6,5",Chorus,Promises - Skrillex-Nero Remix,3 chord
Nero,"1,4,1",Intro,The Thrill,3 chord
Neru,"1,5,6",Chorus,Law-Evading Rock,3 chord
Neutral Milk Hotel,"1,6,4",Verse,In the Aeroplane Over the Sea,3 chord
Neutral Milk Hotel,"1,5,4",Verse,King of Carrot Flowers,3 chord
Neutral Milk Hotel,"4,6,4",Verse and Pre-Chorus,Oh Comely,3 chord
Neutral Milk Hotel,"1,4,1",Verse,Two-Headed Boy,3 chord
New Kids on the Block,"1,5,1",Chorus,Tonight,3 chord
New Order,"1,2,4",Verse,Blue Monday,3 chord
New Politics,"1,4,1",Intro and Verse,Harlem,3 chord
Nhato,"6,5,4",Chorus,Aurora,3 chord
Nhato,"6,5,1",Chorus,Forbidden Soul,3 chord
Nhato,"4,6,5",Bridge,Miss You,3 chord
NiR-Gerda,"1,5,6",Chorus,Rasen'nawatashi--My Spiral ,3 chord
Nick Cannon,"1,4,6",Chorus,Looking for a Dream,3 chord
Nick Cave and the Bad Seeds,"1,5,1",Chorus,The Ship Song,3 chord
Nick Jonas,"4,6,5",Chorus,Chains,3 chord
Nick Jonas,"5,6,4",Chorus,Jealous,3 chord
Nick Jonas,"1,5,4",Chorus,Levels,3 chord
Nick Sparkle,"1,5,4",Chorus,Cassiopeia - David Mayne Remix,3 chord
Nickelback,"4,1,5",Verse,Photograph,3 chord
Nickeloden,"1,5,1",Chorus,Loop De Loop,3 chord
Nickelodeon,"6,5,2",Verse,Catdog,3 chord
Nicki Minaj,"1,2,6",Verse,Pills N Potions,3 chord
Nicki Minaj,"1,5,4",Chorus,Starships,3 chord
Nicki Minaj,"4,5,6",Chorus,Super Bass,3 chord
Nicki Minaj,"1,5,1",Chorus,The Night Is Still Young,3 chord
Nicki Minaj,"1,4,5",Bridge,Turn Me On,3 chord
Nicki Minaj,"1,5,4",Chorus,Va Va Voom,3 chord
Nicki Minaj,"4,1,5",Chorus,Young Forever,3 chord
Nicki Minaj feat Skylar Grey,"1,5,4",Chorus Lead-Out,Bed Of Lies,3 chord
Nicky Jam and Enrique Iglesias,"1,5,6",Chorus,El Perdon,3 chord
Nicky Romero,"4,5,6",Chorus,Toulouse,3 chord
Nicky Romero Vs Volt and State,"1,5,4",Chorus,Warriors,3 chord
Nicky Romero and Krewella,"4,5,6",Chorus,Legacy - Vicetone Remix,3 chord
Nicky Romero and Vicetone,"6,5,1",Chorus,Let Me Feel,3 chord
Nicky Tuckova,"1,6,5",Verse,Rich Boy,3 chord
Nico and Vinz,"5,6,4",Chorus,Am I Wrong,3 chord
Nico and Vinz,"1,4,6",Verse,That's How You Know,3 chord
Nie Er,"1,6,5",Verse and Pre-Chorus,March of the Volunteers,3 chord
Nightmares On Wax,"6,5,4",Verse,Les Nuits,3 chord
Nightwish,"1,5,6",Pre-Outro,Amaranth,3 chord
Nightwish,"1,5,6",Intro,Ever Dream,3 chord
Nightwish,"1,5,6",Intro,Ghost River,3 chord
Nightwish,"1,5,6",Intro and Verse,Last Of the Wilds,3 chord
Nightwish,"1,5,6",Chorus,Over the Hills and Far Away,3 chord
Nightwish,"1,5,6",Bridge,The Poet and the Pendulum,3 chord
Nightwish,"1,5,6",Verse and Pre-Chorus,Wish I Had An Angel,3 chord
Niki and the Dove,"1,2,6",Verse,Tomorrow,3 chord
Nikki Williams,"1,2,3",Chorus,Glowing,3 chord
Nikolai Rimsky-Korsakov,"6,5,2",Chorus,Procession Of The Nobles,3 chord
Nil Lara,"4,5,6",Verse,Fighting For My Love,3 chord
Nina Simone,"1,4,1",Verse,I Wish I Knew How It Would Feel To Be Free,3 chord
Nine Days,"1,5,4",Chorus,Absolutely,3 chord
Nine Inch Nails,"1,6,5",Intro and Verse,A Warm Place,3 chord
Nine Inch Nails,"1,6,2",Chorus,Every Day Is Exactly the Same,3 chord
Nine Inch Nails,"4,1,5",Pre-Chorus and Chorus,Hurt,3 chord
Nine Inch Nails,"4,5,6",Verse,Just Like You Imagined,3 chord
Nine Inch Nails,"1,5,6",Chorus,The Perfect Drug,3 chord
Nino Ferrer,"1,4,1",Chorus,Le Sud,3 chord
Nino Rota,"6,3,4",Verse,Romeo and Juliet,3 chord
Nintendo,"1,4,1",Chorus,Beach Bowl Galaxy,3 chord
Nintendo,"6,5,6",Chorus,Blanka's Theme,3 chord
Nintendo,"1,4,5",Verse,Chilly Waters,3 chord
Nintendo,"6,2,6",Intro and Verse,Chun Li's Theme,3 chord
Nintendo,"5,1,6",Verse,Earthbound - Winters White,3 chord
Nintendo,"1,4,5",Intro,Earthbound Zero - Pollyanna,3 chord
Nintendo,"5,2,4",Intro and Verse,Elder Princess Shroob Battle,3 chord
Nintendo,"1,5,6",Chorus,GBA Sky Garden - Mario Kart DS,3 chord
Nintendo,"4,5,3",Verse,Guile's Theme,3 chord
Nintendo,"4,5,1",Chorus,Homebrew Channel,3 chord
Nintendo,"6,5,4",Chorus,Hyrule Field - Zelda Twilight Princess,3 chord
Nintendo,"6,4,5",Chorus,Ken's Theme,3 chord
Nintendo,"1,4,1",Intro and Verse,Kirby Air Ride - Sky Sands,3 chord
Nintendo,"1,5,1",Verse,Kirby's Adventure - Grape Garden,3 chord
Nintendo,"4,5,6",Verse,Mario Kart 7 - Rainbow Road,3 chord
Nintendo,"4,5,3",Verse,Outset Island,3 chord
Nintendo,"1,5,1",Intro and Verse,Pokemon Red And Blue - Pallet Town,3 chord
Nintendo,"4,5,4",Verse and Pre-Chorus,Pokemon Red Blue Opening,3 chord
Nintendo,"4,6,5",Verse,Pokemon Red and Blue - Lavender Town,3 chord
Nintendo,"4,5,6",Intro,Punch Out - Fight,3 chord
Nintendo,"6,5,4",Verse,Punch-Out Minor Circuit Theme,3 chord
Nintendo,"4,5,4",Verse,Ravio's Theme,3 chord
Nintendo,"1,2,5",Intro and Verse,Rustboro City,3 chord
Nintendo,"1,6,5",Pre-Chorus,Splatoon - Jam Session,3 chord
Nintendo,"1,5,4",Verse,Squid Kid,3 chord
Nintendo,"6,5,4",Verse,Stole My Bike,3 chord
Nintendo,"1,2,1",Intro and Verse,Super Mario 3D World- Main Theme,3 chord
Nintendo,"4,5,6",Verse,Super Mario Galaxy - Buoy Base Galaxy,3 chord
Nintendo,"6,5,4",Chorus,Super Mario Galaxy - Gusty Garden Galaxy,3 chord
Nintendo,"1,4,1",Intro and Verse,Super Mario Land - Chai Kingdom,3 chord
Nintendo,"1,4,1",Intro and Verse,Super Mario Land - Muda Kingdom,3 chord
Nintendo,"1,5,6",Bridge,Super Smash Bros Melee - Onett,3 chord
Nintendo,"4,5,4",Intro and Verse,Super Smash Bros Melee - Pollyanna,3 chord
Nintendo,"5,4,5",Intro,Super Smash Bros Melee Menu,3 chord
Nintendo,"1,4,1",Verse,Tetris Attack - Forest World,3 chord
Nintendo,"1,5,4",Verse,Tetris Attack - Water Stage,3 chord
Nintendo,"1,5,1",Verse,Tetris GB - B-Type Music,3 chord
Nintendo,"6,2,5",Instrumental,Tetris GB - C-Type Music,3 chord
Nintendo,"6,2,1",Verse,The Tetris Theme,3 chord
Nintendo,"4,5,6",Verse and Pre-Chorus,Warioware DIY- Jimmy's Aerobics,3 chord
Nintendo,"5,1,4",Chorus,Windfall Island,3 chord
Nintendo,"5,4,3",Verse,Yoshi's Island - Athletic Theme,3 chord
Nintendo,"1,6,4",Verse,Yoshi's Island - Flower Garden,3 chord
Nintendo - Asuka Ohta - Ryo Nagamatsu,"1,4,5",Verse,Mario Kart Wii - Daisy Circuit,3 chord
Nintendo - Asuka Ohta - Ryo Nagamatsu,"1,4,1",Verse,Mario Kart Wii - Luigi Circuit,3 chord
Nintendo - Masayoshi Ishi,"4,5,1",Intro and Verse,Yoshi's New Island - Overworld,3 chord
Nirvana,"6,5,6",Verse,Come As You Are,3 chord
Nirvana,"1,5,1",Pre-Chorus and Chorus,David Bowie - Man Who Sold The World,3 chord
Nirvana,"1,6,1",Chorus,In Bloom,3 chord
Nirvana,"1,4,6",Verse,Smells Like Teen Spirit,3 chord
Nirvana,"4,6,4",Chorus,Something in the Way,3 chord
No Doubt,"6,2,5",Chorus,Don't Speak,3 chord
No Doubt,"1,4,6",Pre-Chorus,It's My Life,3 chord
No Doubt,"1,5,6",Intro,Spiderwebs,3 chord
No Doubt,"1,4,5",Chorus,Underneath It All,3 chord
Noam Kaniel,"1,5,6",Intro,A World Without Danger,3 chord
Nobuo Uematsu,"5,2,5",Intro,Aerith's Theme,3 chord
Nobuo Uematsu,"4,5,6",Chorus Lead-Out,Atma Weapon Theme,3 chord
Nobuo Uematsu,"4,5,1",Chorus,Bo-Kon-Ho-Ko,3 chord
Nobuo Uematsu,"4,5,6",Verse,Fighting - Final Fantasy VII,3 chord
Nobuo Uematsu,"1,6,4",Instrumental,Final Fantasy - Prelude,3 chord
Nobuo Uematsu,"6,5,4",Verse,Final Fantasy IV Battle Theme,3 chord
Nobuo Uematsu,"4,5,6",Verse,Final Fantasy V - Battle,3 chord
Nobuo Uematsu,"6,2,6",Verse,Final Fantasy VI - Dancing Mad Part 5,3 chord
Nobuo Uematsu,"4,5,3",Intro,Final Fantasy VI Boss Battle Theme,3 chord
Nobuo Uematsu,"1,6,1",Chorus,Kefka's Theme,3 chord
Nobuo Uematsu,"1,2,16",Verse,Locke's Theme,3 chord
Nobuo Uematsu,"4,5,6",Intro,Neverending Journey,3 chord
Nobuo Uematsu,"1,5,4",Verse,Terra,3 chord
Nobuo Uematsu,"6,4,5",Intro and Verse,Troian Beauty - FFIV,3 chord
Nobuo Uematsu,"4,1,4",Chorus,You're Not Alone,3 chord
Noisecontrollers and Adele,"6,4,5",Pre-Chorus,So High To The Rain - Unnamed Mashup,3 chord
Noisy Neighbors,"1,5,6",Chorus,Sonic SatAM Theme Song - Fastest Thing Alive,3 chord
Noma,"1,5,4",Verse,Brain Power,3 chord
Nora En Pure,"4,5,6",Instrumental,Sweet Melody,3 chord
Norah Jones,"1,5,2",Verse,You've Ruined Me,3 chord
Notessimo,"6,4,1",Chorus,Acceleration of the Unhurried,3 chord
Nsync,"4,5,4",Pre-Chorus and Chorus,Bye Bye Bye,3 chord
Nsync,"4,6,5",Verse,Bye Bye bye,3 chord
Nsync,"4,5,3",Chorus,It's Gonna Be Me,3 chord
Nsync,"4,5,6",Verse and Pre-Chorus,It's gonna be me,3 chord
Nsync,"4,5,6",Chorus,Tearin' Up My Heart,3 chord
Numeriklab,"6,4,5",Intro,NCIS Theme,3 chord
O Zone,"1,5,6",Intro,Dragostea Din Tei,3 chord
O-Town,"1,6,4",Verse,All Or Nothing,3 chord
OK Go,"4,1,5",Verse,Here It Goes Again,3 chord
OK Go,"5,6,1",Chorus,I Won't Let You Down,3 chord
OK Go,"4,1,5",Verse,Needing - Getting,3 chord
OMI,"1,5,4",Verse,Cheerleader,3 chord
OMI,"1,5,6",Pre-Chorus,Hula Hoop,3 chord
Oasis,"1,5,6",Pre-Chorus and Chorus,Don't Go Away,3 chord
Oasis,"1,5,6",Verse,Don't Look Back In Anger,3 chord
Oasis,"1,5,6",Chorus,Don't Look Back in Anger,3 chord
Oasis,"4,5,6",Chorus,Live Forever,3 chord
Oasis,"1,5,2",Chorus,Stop Crying Your Heart Out,3 chord
Oasis,"6,2,6",Chorus,The Importance of Being Idle,3 chord
Oasis,"4,5,1",Pre-Chorus and Chorus,Wonderwall,3 chord
Oasis and Microsoft Songsmith,"1,4,5",Verse,Wonderwall - Songsmith Techno Mix,3 chord
Obadiah Parker,"1,4,5",Chorus,Hey Ya,3 chord
Oceanlab,"6,5,4",Chorus,Satellite,3 chord
Octavia,"1,6,3",Chorus,Marcus Werner,3 chord
Of Monsters And Men,"1,5,6",Chorus,Little Talks,3 chord
Of Monsters and Men,"1,5,6",Chorus,King and Lionheart,3 chord
Offenbach,"1,4,1",Verse and Pre-Chorus,Can Can,3 chord
Ogge,"1,5,2",Pre-Chorus,Kuk,3 chord
Oh Land,"1,2,4",Chorus,Helicopter,3 chord
Oh Land,"1,2,1",Verse,Speak Out Now,3 chord
Oh My Girl,"6,5,4",Chorus,Closer,3 chord
Oh Wonder,"4,6,1",Pre-Chorus,Lose It,3 chord
Okazaki Ritsuko,"1,4,5",Verse,For Fruits Basket,3 chord
Ola,"1,2,1",Verse,I'm In Love,3 chord
Ola Gjeilo,"4,6,5",Intro,Ubi Caritas,3 chord
Old Crow Medicine Show,"1,5,6",Verse,Wagon Wheel,3 chord
Old Spice,"1,4,5",Chorus,Dadsong,3 chord
Oliver Heldens,"6,5,4",Chorus,Gecko,3 chord
Olivia Newton-John,"1,2,1",Chorus,Twist of Fate,3 chord
Olly Murs,"6,5,2",Intro and Verse,Dear Darlin,3 chord
Olly Murs,"1,5,2",Chorus,Heart Skips A Beat ft Rizzle Kicks,3 chord
Olly Murs ,"1,5,6",Chorus,Dear Darlin,3 chord
Olly Murs feat Flo Rida,"1,6,2",Chorus,Troublemaker,3 chord
Omarion ft Chris Brown and Jhene Aiko,"1,4,5",Chorus,Post To Be,3 chord
Omega,"1,5,2",Intro,Gyongyhaju Lany,3 chord
One Direction,"1,5,4",Chorus,Best Song Ever,3 chord
One Direction,"6,4,5",Chorus,Drag Me Down,3 chord
One Direction,"1,5,6",Pre-Chorus,Heart Attack ,3 chord
One Direction,"1,5,6",Pre-Chorus,Live While We're Young,3 chord
One Direction,"1,5,6",Verse,Nobody Compares,3 chord
One Direction,"1,4,6",Chorus,Perfect,3 chord
One Direction,"4,1,6",Verse,Rock Me,3 chord
One Direction,"1,4,6",Chorus,Story Of My Life,3 chord
One Direction,"1,4,5",Chorus,What Makes You Beautiful,3 chord
One Direction ,"1,5,6",Chorus,Night Changes ,3 chord
One Republic,"4,6,5",Chorus,All The Right Moves,3 chord
One Republic,"1,5,4",Intro,Counting Stars,3 chord
One Republic,"1,4,6",Chorus Lead-Out,Good Life,3 chord
One Republic,"1,5,6",Chorus,I Lived - Arty Remix,3 chord
One Republic,"1,2,6",Verse,If I Lose Myself - Alesso Remix,3 chord
One Republic,"1,5,6",Chorus,Say,3 chord
One Republic,"6,4,1",Chorus,Secrets,3 chord
One Republic,"1,5,6",Chorus,Stop And Stare,3 chord
One piece,"1,4,1",Intro,We Are,3 chord
One-T,"5,2,3",Chorus,The Magic Key,3 chord
OneRepublic,"1,5,4",Intro and Verse,Counting Stars,3 chord
Onyanko Club,"1,4,5",Solo 1,Kaiinbango no Uta,3 chord
Orchestral Manoeuvres In The Dark,"1,4,1",Instrumental,Maid Of Orleans,3 chord
Orchestral Manoeuvres in the Dark,"1,5,6",Intro,Electricity,3 chord
Orjan Nilsen,"4,6,5",Verse,La Guitarra,3 chord
Ost and Meyer and 7 Skies,"5,2,1",Chorus,Dharma,3 chord
Otis Redding,"1,5,4",Bridge,Sittin' On The Dock of the Bay,3 chord
Otto Knows,"1,6,1",Chorus,Dying For You,3 chord
Outkast,"1,4,5",Chorus,Hey Ya,3 chord
Outkast,"1,6,5",Verse,Roses,3 chord
Owl City,"1,5,1",Chorus,Alligator Sky,3 chord
Owl City,"1,5,4",Chorus,Fireflies,3 chord
Owl City,"6,5,4",Chorus,Verge,3 chord
Owl City,"1,5,6",Pre-Chorus,When Can I See You Again,3 chord
Owl City featuring Carly Rae Jepsen,"4,1,5",Verse,Good Time,3 chord
Oyuugi Wagamama Dan x PaRADEiS,"1,5,4",Verse,Liverty,3 chord
Ozzy Osbourne,"4,1,5",Chorus,Crazy Train,3 chord
Ozzy Osbourne,"1,2,6",Intro and Verse,Diary of a Madman,3 chord
Ozzy Osbourne,"1,5,6",Intro,Mr Crowley,3 chord
PIXL,"1,6,2",Chorus,Sugar Rush,3 chord
PPK,"6,3,6",Chorus,Resurrection,3 chord
PRGuitarMan -Yamaha Vocaloid,"1,4,5",Chorus,Nyan Cat - nyanyanya,3 chord
